Urban_Rural,Computer_Yes,Computer_No,Computer_Total
AREA # 010101,Myitkyina,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,3785,35883,39668
 Rural,231,10684,10915
 Total,4016,46567,50583
NotApp :,1258,*,*
AREA # 010102,Waingmaw,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,217,3603,3820
 Rural,226,15734,15960
 Total,443,19337,19780
NotApp :,241,*,*
AREA # 010103,Ingyanyan,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,3,75,78
 Rural,-,207,207
 Total,3,282,285
NotApp :,35,*,*
AREA # 010104,Tanaing,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,142,3552,3694
 Rural,13,2691,2704
 Total,155,6243,6398
NotApp :,303,*,*
AREA # 010105,Chiphwe,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,14,315,329
 Rural,16,1586,1602
 Total,30,1901,1931
NotApp :,11,*,*
AREA # 010106,Hsotlaw,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,2,64,66
 Rural,6,1001,1007
 Total,8,1065,1073
NotApp :,4,*,*
AREA # 010151,Hsinbo(ST),*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,18,686,704
 Rural,7,1297,1304
 Total,25,1983,2008
NotApp :,80,*,*
AREA # 010152,Hsadone(ST),*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,9,501,510
 Rural,6,1094,1100
 Total,15,1595,1610
NotApp :,9,*,*
AREA # 010153,Kanpaikti(ST),*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,4,170,174
 Rural,12,1284,1296
 Total,16,1454,1470
NotApp :,20,*,*
AREA # 010154,Shinbwayyan(ST),*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,17,1008,1025
 Rural,4,1101,1105
 Total,21,2109,2130
NotApp :,15,*,*
AREA # 010155,Panwa(ST),*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,15,181,196
 Rural,13,1166,1179
 Total,28,1347,1375
NotApp :,41,*,*
AREA # 010201,Mohnyin,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,471,5882,6353
 Rural,300,23537,23837
 Total,771,29419,30190
NotApp :,542,*,*
AREA # 010202,Mogaung,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,257,4191,4448
 Rural,337,20113,20450
 Total,594,24304,24898
NotApp :,208,*,*
AREA # 010203,Phakant,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,273,6583,6856
 Rural,706,25572,26278
 Total,979,32155,33134
NotApp :,1665,*,*
AREA # 010251,Hopin(ST),*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,216,4325,4541
 Rural,43,4848,4891
 Total,259,9173,9432
NotApp :,114,*,*
AREA # 010252,Kamine(ST),*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,18,1012,1030
 Rural,12,2456,2468
 Total,30,3468,3498
NotApp :,131,*,*
AREA # 010301,Bhamo,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,800,8715,9515
 Rural,212,14434,14646
 Total,1012,23149,24161
NotApp :,571,*,*
AREA # 010302,Shwegu,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,180,3222,3402
 Rural,65,12361,12426
 Total,245,15583,15828
NotApp :,336,*,*
AREA # 010303,Momauk,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,61,2029,2090
 Rural,89,6455,6544
 Total,150,8484,8634
NotApp :,144,*,*
AREA # 010304,Mansi,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,63,1555,1618
 Rural,70,8866,8936
 Total,133,10421,10554
NotApp :,82,*,*
AREA # 010351,Myohla(ST),*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,5,356,361
 Rural,-,432,432
 Total,5,788,793
NotApp :,11,*,*
AREA # 010352,Lwe`ge`(ST),*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,79,1146,1225
 Rural,2,276,278
 Total,81,1422,1503
NotApp :,24,*,*
AREA # 010353,Dotphoneyan(ST),*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,9,302,311
 Rural,13,1909,1922
 Total,22,2211,2233
NotApp :,65,*,*
AREA # 010401,Putao,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,151,2660,2811
 Rural,45,7887,7932
 Total,196,10547,10743
NotApp :,94,*,*
AREA # 010402,Sumprabum,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,6,166,172
 Rural,3,304,307
 Total,9,470,479
NotApp :,18,*,*
AREA # 010403,Machanbaw,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,19,389,408
 Rural,3,1308,1311
 Total,22,1697,1719
NotApp :,31,*,*
AREA # 010404,Khaunglanphoo,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,-,70,70
 Rural,9,1632,1641
 Total,9,1702,1711
NotApp :,2,*,*
AREA # 010405,Naungmoon,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,11,349,360
 Rural,2,581,583
 Total,13,930,943
NotApp :,4,*,*
AREA # 010451,Pannandin(ST),*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,-,24,24
 Rural,1,244,245
 Total,1,268,269
NotApp :,1,*,*
AREA # 020101,Loikaw,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,1145,9277,10422
 Rural,353,15720,16073
 Total,1498,24997,26495
NotApp :,304,*,*
AREA # 020102,Dimawso,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,50,1087,1137
 Rural,170,14040,14210
 Total,220,15127,15347
NotApp :,105,*,*
AREA # 020103,Phruso,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,26,827,853
 Rural,22,5035,5057
 Total,48,5862,5910
NotApp :,78,*,*
AREA # 020104,Shardaw,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,7,329,336
 Rural,1,1069,1070
 Total,8,1398,1406
NotApp :,28,*,*
AREA # 020201,Bawlakhe,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,39,800,839
 Rural,-,750,750
 Total,39,1550,1589
NotApp :,81,*,*
AREA # 020202,Parsaung,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,16,578,594
 Rural,29,4110,4139
 Total,45,4688,4733
NotApp :,302,*,*
AREA # 020203,Meisi,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,-,195,195
