Urban_Rural,Internet_at_home_Yes,Internet_at_home_No,Internet_at_home_Total
AREA # 010101,Myitkyina,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,5810,33858,39668
 Rural,264,10651,10915
 Total,6074,44509,50583
NotApp :,1258,*,*
AREA # 010102,Waingmaw,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,278,3542,3820
 Rural,227,15733,15960
 Total,505,19275,19780
NotApp :,241,*,*
AREA # 010103,Ingyanyan,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,1,77,78
 Rural,-,207,207
 Total,1,284,285
NotApp :,35,*,*
AREA # 010104,Tanaing,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,375,3319,3694
 Rural,33,2671,2704
 Total,408,5990,6398
NotApp :,303,*,*
AREA # 010105,Chiphwe,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,-,329,329
 Rural,3,1599,1602
 Total,3,1928,1931
NotApp :,11,*,*
AREA # 010106,Hsotlaw,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,-,66,66
 Rural,1,1006,1007
 Total,1,1072,1073
NotApp :,4,*,*
AREA # 010151,Hsinbo(ST),*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,2,702,704
 Rural,2,1302,1304
 Total,4,2004,2008
NotApp :,80,*,*
AREA # 010152,Hsadone(ST),*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,10,500,510
 Rural,3,1097,1100
 Total,13,1597,1610
NotApp :,9,*,*
AREA # 010153,Kanpaikti(ST),*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,6,168,174
 Rural,1,1295,1296
 Total,7,1463,1470
NotApp :,20,*,*
AREA # 010154,Shinbwayyan(ST),*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,1,1024,1025
 Rural,-,1105,1105
 Total,1,2129,2130
NotApp :,15,*,*
AREA # 010155,Panwa(ST),*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,4,192,196
 Rural,3,1176,1179
 Total,7,1368,1375
NotApp :,41,*,*
AREA # 010201,Mohnyin,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
