Urban_Rural,Motorboat_Yes,Motorboat_No,Motorboat_Total
AREA # 010101,Myitkyina,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,258,39410,39668
 Rural,194,10721,10915
 Total,452,50131,50583
NotApp :,1258,*,*
AREA # 010102,Waingmaw,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,57,3763,3820
 Rural,179,15781,15960
 Total,236,19544,19780
NotApp :,241,*,*
AREA # 010103,Ingyanyan,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,-,78,78
 Rural,4,203,207
 Total,4,281,285
NotApp :,35,*,*
AREA # 010104,Tanaing,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,368,3326,3694
 Rural,55,2649,2704
 Total,423,5975,6398
NotApp :,303,*,*
AREA # 010105,Chiphwe,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,-,329,329
 Rural,2,1600,1602
 Total,2,1929,1931
NotApp :,11,*,*
AREA # 010106,Hsotlaw,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,-,66,66
 Rural,-,1007,1007
 Total,-,1073,1073
NotApp :,4,*,*
AREA # 010151,Hsinbo(ST),*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,56,648,704
 Rural,159,1145,1304
 Total,215,1793,2008
NotApp :,80,*,*
AREA # 010152,Hsadone(ST),*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,-,510,510
 Rural,-,1100,1100
 Total,-,1610,1610
NotApp :,9,*,*
AREA # 010153,Kanpaikti(ST),*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,-,174,174
 Rural,-,1296,1296
 Total,-,1470,1470
NotApp :,20,*,*
AREA # 010154,Shinbwayyan(ST),*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,5,1020,1025
 Rural,167,938,1105
 Total,172,1958,2130
NotApp :,15,*,*
AREA # 010155,Panwa(ST),*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,-,196,196
 Rural,-,1179,1179
 Total,-,1375,1375
NotApp :,41,*,*
AREA # 010201,Mohnyin,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,2,6351,6353
 Rural,352,23485,23837
 Total,354,29836,30190
NotApp :,542,*,*
AREA # 010202,Mogaung,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,18,4430,4448
 Rural,188,20262,20450
 Total,206,24692,24898
NotApp :,208,*,*
AREA # 010203,Phakant,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,4,6852,6856
 Rural,151,26127,26278
 Total,155,32979,33134
NotApp :,1665,*,*
AREA # 010251,Hopin(ST),*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,1,4540,4541
 Rural,2,4889,4891
 Total,3,9429,9432
NotApp :,114,*,*
AREA # 010252,Kamine(ST),*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,31,999,1030
 Rural,13,2455,2468
 Total,44,3454,3498
NotApp :,131,*,*
AREA # 010301,Bhamo,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,305,9210,9515
 Rural,1960,12686,14646
 Total,2265,21896,24161
NotApp :,571,*,*
AREA # 010302,Shwegu,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,67,3335,3402
 Rural,1327,11099,12426
 Total,1394,14434,15828
NotApp :,336,*,*
AREA # 010303,Momauk,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,2,2088,2090
 Rural,109,6435,6544
 Total,111,8523,8634
NotApp :,144,*,*
AREA # 010304,Mansi,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,1,1617,1618
 Rural,28,8908,8936
 Total,29,10525,10554
NotApp :,82,*,*
AREA # 010351,Myohla(ST),*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,68,293,361
 Rural,58,374,432
 Total,126,667,793
NotApp :,11,*,*
AREA # 010352,Lwe`ge`(ST),*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,-,1225,1225
 Rural,-,278,278
 Total,-,1503,1503
NotApp :,24,*,*
AREA # 010353,Dotphoneyan(ST),*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,1,310,311
 Rural,13,1909,1922
 Total,14,2219,2233
NotApp :,65,*,*
AREA # 010401,Putao,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,2,2809,2811
 Rural,20,7912,7932
 Total,22,10721,10743
NotApp :,94,*,*
