Disability_remembering,Age_Under_1,Age_1,Age_2,Age_3,Age_4,Age_5,Age_6,Age_7,Age_8,Age_9,Age_10,Age_11,Age_12,Age_13,Age_14,Age_15,Age_16,Age_17,Age_18,Age_19,Age_20,Age_21,Age_22,Age_23,Age_24,Age_25,Age_26,Age_27,Age_28,Age_29,Age_30,Age_31,Age_32,Age_33,Age_34,Age_35,Age_36,Age_37,Age_38,Age_39,Age_40,Age_41,Age_42,Age_43,Age_44,Age_45,Age_46,Age_47,Age_48,Age_49,Age_50,Age_51,Age_52,Age_53,Age_54,Age_55,Age_56,Age_57,Age_58,Age_59,Age_60,Age_61,Age_62,Age_63,Age_64,Age_65,Age_66,Age_67,Age_68,Age_69,Age_70,Age_71,Age_72,Age_73,Age_74,Age_75,Age_76,Age_77,Age_78,Age_79,Age_80,Age_81,Age_82,Age_83,Age_84,Age_85,Age_86,Age_87,Age_88,Age_89,Age_90_and_above,Age_Total
AREA # 010101,Myitkyina,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Disability remembering,Age,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
*,Under 1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90 and above,Total
 No - no difficulty,5572,5167,5546,5635,5739,5476,5566,6262,6181,6002,6333,5844,6719,7534,7083,6395,6668,7074,7890,6572,7701,5609,5906,5992,5232,6111,4985,4911,5506,4626,6611,4123,4928,4584,3866,5133,3883,3913,4553,3486,5215,3105,4007,3730,3147,4354,2752,2615,3105,2265,3629,1884,2618,2464,2301,2451,2049,1735,1889,1351,2333,1013,1306,1350,1159,1583,847,1085,927,555,1185,498,634,644,542,838,427,325,463,202,591,170,214,196,194,273,127,113,92,80,411,303960
 Yes - some difficulty,27,24,8,9,12,7,5,3,17,12,14,8,15,13,8,16,15,13,15,8,14,7,8,8,10,7,10,14,11,10,22,10,12,9,10,23,12,8,17,15,14,15,20,8,28,21,18,24,33,15,43,19,32,26,37,32,35,15,23,10,56,19,27,35,33,43,19,38,28,23,82,23,34,30,31,60,24,24,31,21,46,14,18,11,22,31,9,16,8,13,69,1892
 Yes - a lot of difficulty,14,10,1,4,3,4,5,5,10,9,10,5,7,9,6,9,14,3,7,5,4,6,4,4,2,9,8,2,2,6,7,3,3,2,4,5,2,4,2,3,9,3,7,5,1,12,3,4,3,2,9,3,3,5,6,4,9,3,7,3,12,3,2,8,2,7,5,6,3,3,11,4,10,12,10,17,4,5,6,8,18,4,8,10,5,11,8,2,3,5,48,583
 Yes - cannot remember/concentrate at all,8,5,6,4,7,4,10,7,3,8,10,12,8,12,12,9,8,9,6,8,10,9,5,12,10,6,10,3,7,7,9,5,6,1,4,10,3,6,5,3,3,3,1,3,2,5,2,3,3,2,10,4,8,8,6,7,5,6,3,1,2,2,5,5,-,8,7,1,3,1,9,2,5,4,2,3,4,4,3,2,14,1,2,6,3,5,2,2,2,3,30,514
 Total,5621,5206,5561,5652,5761,5491,5586,6277,6211,6031,6367,5869,6749,7568,7109,6429,6705,7099,7918,6593,7729,5631,5923,6016,5254,6133,5013,4930,5526,4649,6649,4141,4949,4596,3884,5171,3900,3931,4577,3507,5241,3126,4035,3746,3178,4392,2775,2646,3144,2284,3691,1910,2661,2503,2350,2494,2098,1759,1922,1365,2403,1037,1340,1398,1194,1641,878,1130,961,582,1287,527,683,690,585,918,459,358,503,233,669,189,242,223,224,320,146,133,105,101,558,306949
AREA # 010102,Waingmaw,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Disability remembering,Age,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
*,Under 1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90 and above,Total
 No - no difficulty,2335,2129,2334,2442,2412,2489,2374,2550,2499,2477,2564,2189,2676,2686,2493,2142,2146,2098,2388,1782,2226,1517,1640,1641,1545,1882,1450,1405,1709,1455,2255,1191,1458,1443,1147,1634,1306,1217,1383,1048,1825,950,1268,1280,958,1489,907,798,1017,687,1472,661,909,896,766,979,773,578,644,436,993,366,442,453,345,542,291,330,280,168,500,158,202,203,163,265,148,83,142,54,197,46,66,59,46,83,35,28,24,22,115,103899
 Yes - some difficulty,23,14,24,9,7,10,11,10,14,10,18,14,8,17,13,8,5,14,8,7,6,5,14,5,10,12,5,10,14,11,19,13,16,13,17,16,19,14,19,17,38,12,25,19,21,36,28,24,34,28,58,24,36,31,33,36,32,21,27,27,57,26,29,37,29,36,26,19,34,11,63,15,17,30,12,31,25,15,13,13,58,4,5,14,14,12,9,10,5,4,27,1789
 Yes - a lot of difficulty,30,4,2,3,2,1,4,6,7,5,3,4,7,7,11,6,6,5,3,6,4,5,1,2,8,4,3,5,5,6,4,1,3,2,6,3,3,2,3,3,6,1,2,5,4,6,3,3,2,2,11,-,11,4,5,7,6,3,1,2,6,3,4,2,6,4,4,6,2,3,21,1,6,5,7,10,3,2,5,2,12,1,5,3,5,8,3,2,2,3,22,447
