Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total
AREA # 010101,Myitkyina,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,14596,6264,20860
 Grade 1,6297,2408,8705
 Grade 2,7759,2957,10716
 Grade 3,10808,4188,14996
 Grade 4,15637,5017,20654
 Grade 5,24595,8078,32673
 Grade 6,15538,4688,20226
 Grade 7,13830,3913,17743
 Grade 8,15831,4138,19969
 Grade 9,19380,4246,23626
 Grade 10,18741,3970,22711
 Grade 11,24585,3717,28302
 College,10765,991,11756
 Vocational training,817,28,845
 Undergraduate diploma,584,110,694
 Graduate,19982,1686,21668
 Postgraduate diploma,542,43,585
 Master degree,664,70,734
 PhD,128,13,141
 Other,1281,263,1544
 Total,222360,56788,279148
NotApp :,27801,*,*
AREA # 010102,Waingmaw,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,2617,12730,15347
 Grade 1,730,3393,4123
 Grade 2,981,4203,5184
 Grade 3,1141,5793,6934
 Grade 4,1486,6607,8093
 Grade 5,2042,9570,11612
 Grade 6,1467,5883,7350
 Grade 7,1255,4952,6207
 Grade 8,1478,5124,6602
 Grade 9,1496,5341,6837
 Grade 10,1767,4459,6226
 Grade 11,1385,3840,5225
 College,660,1133,1793
 Vocational training,18,93,111
 Undergraduate diploma,38,133,171
 Graduate,1001,1266,2267
 Postgraduate diploma,107,102,209
 Master degree,35,30,65
 PhD,4,1,5
 Other,149,82,231
 Total,19857,74735,94592
NotApp :,11774,*,*
AREA # 010103,Ingyanyan,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,79,189,268
 Grade 1,24,81,105
 Grade 2,31,89,120
 Grade 3,29,107,136
 Grade 4,24,123,147
 Grade 5,38,146,184
 Grade 6,26,83,109
 Grade 7,28,69,97
 Grade 8,23,71,94
 Grade 9,14,51,65
 Grade 10,17,74,91
 Grade 11,18,22,40
 College,7,8,15
 Undergraduate diploma,2,3,5
 Graduate,23,17,40
 Postgraduate diploma,13,2,15
 Master degree,1,1,2
 Total,397,1136,1533
NotApp :,199,*,*
AREA # 010104,Tanaing,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,3185,2112,5297
 Grade 1,998,653,1651
 Grade 2,1365,857,2222
 Grade 3,1825,1396,3221
 Grade 4,2444,1473,3917
 Grade 5,3672,2285,5957
 Grade 6,2266,1237,3503
 Grade 7,2001,1052,3053
 Grade 8,2102,969,3071
 Grade 9,2216,952,3168
 Grade 10,2098,843,2941
 Grade 11,2382,566,2948
 College,656,179,835
 Vocational training,22,8,30
 Undergraduate diploma,37,17,54
 Graduate,1025,156,1181
 Postgraduate diploma,14,8,22
 Master degree,19,4,23
 PhD,2,-,2
 Other,75,47,122
 Total,28404,14814,43218
NotApp :,5348,*,*
AREA # 010105,Chiphwe,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,166,3709,3875
 Grade 1,60,586,646
 Grade 2,67,502,569
 Grade 3,79,571,650
 Grade 4,81,500,581
 Grade 5,123,623,746
 Grade 6,73,398,471
 Grade 7,75,290,365
 Grade 8,101,313,414
 Grade 9,105,301,406
 Grade 10,209,279,488
 Grade 11,79,177,256
 College,37,18,55
 Vocational training,-,4,4
 Undergraduate diploma,7,14,21
 Graduate,113,74,187
 Postgraduate diploma,5,1,6
 Master degree,1,-,1
 Other,-,1,1
 Total,1381,8361,9742
NotApp :,1561,*,*
AREA # 010106,Hsotlaw,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,45,2073,2118
 Grade 1,9,347,356
 Grade 2,14,338,352
 Grade 3,29,378,407
 Grade 4,17,354,371
 Grade 5,34,429,463
 Grade 6,17,279,296
 Grade 7,19,226,245
 Grade 8,26,222,248
 Grade 9,22,239,261
 Grade 10,19,116,135
 Grade 11,44,188,232
 College,6,11,17
 Vocational training,-,1,1
 Undergraduate diploma,2,4,6
 Graduate,20,9,29
 Postgraduate diploma,1,15,16
 Master degree,-,1,1
 Other,-,4,4
 Total,324,5234,5558
NotApp :,960,*,*
AREA # 010151,Hsinbo(ST),*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,186,576,762
 Grade 1,154,295,449
 Grade 2,176,421,597
 Grade 3,270,664,934
 Grade 4,341,817,1158
 Grade 5,463,1523,1986
 Grade 6,269,531,800
 Grade 7,250,432,682
 Grade 8,220,384,604
 Grade 9,211,264,475
 Grade 10,185,142,327
 Grade 11,210,200,410
 College,57,57,114
 Vocational training,2,2,4
 Undergraduate diploma,10,7,17
 Graduate,117,57,174
 Postgraduate diploma,4,5,9
 Master degree,3,-,3
 PhD,1,-,1
 Other,16,60,76
 Total,3145,6437,9582
NotApp :,1073,*,*
AREA # 010152,Hsadone(ST),*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,606,2005,2611
 Grade 1,123,343,466
 Grade 2,154,448,602
 Grade 3,209,537,746
 Grade 4,224,510,734
 Grade 5,351,582,933
 Grade 6,268,402,670
 Grade 7,202,327,529
 Grade 8,184,285,469
 Grade 9,214,286,500
 Grade 10,258,238,496
 Grade 11,249,159,408
 College,73,76,149
 Vocational training,-,2,2
 Undergraduate diploma,4,6,10
 Graduate,71,34,105
 Postgraduate diploma,19,3,22
 Other,2,3,5
 Total,3211,6246,9457
NotApp :,1039,*,*
AREA # 010153,Kanpaikti(ST),*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,153,2706,2859
 Grade 1,24,274,298
 Grade 2,27,329,356
 Grade 3,52,493,545
 Grade 4,37,487,524
 Grade 5,71,487,558
 Grade 6,58,367,425
 Grade 7,69,277,346
 Grade 8,50,270,320
 Grade 9,96,277,373
 Grade 10,90,265,355
 Grade 11,165,124,289
 College,44,46,90
 Vocational training,5,5,10
 Undergraduate diploma,3,4,7
 Graduate,89,42,131
 Postgraduate diploma,2,5,7
 Master degree,-,1,1
 PhD,-,1,1
 Other,10,213,223
 Total,1045,6673,7718
NotApp :,964,*,*
AREA # 010154,Shinbwayyan(ST),*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,369,1363,1732
 Grade 1,240,329,569
 Grade 2,208,306,514
 Grade 3,342,434,776
 Grade 4,549,420,969
 Grade 5,691,553,1244
 Grade 6,413,319,732
 Grade 7,370,242,612
 Grade 8,371,278,649
 Grade 9,317,298,615
 Grade 10,503,269,772
 Grade 11,172,211,383
 College,129,36,165
 Vocational training,17,-,17
 Undergraduate diploma,19,2,21
 Graduate,158,44,202
 Postgraduate diploma,2,9,11
 Master degree,3,2,5
 PhD,1,-,1
 Other,1,2,3
 Total,4875,5117,9992
NotApp :,1461,*,*
AREA # 010155,Panwa(ST),*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,157,3269,3426
 Grade 1,39,363,402
 Grade 2,23,363,386
 Grade 3,61,464,525
 Grade 4,46,453,499
 Grade 5,92,415,507
 Grade 6,60,242,302
 Grade 7,75,210,285
 Grade 8,61,163,224
 Grade 9,91,192,283
 Grade 10,102,169,271
 Grade 11,180,112,292
 College,24,30,54
 Vocational training,3,-,3
 Undergraduate diploma,7,3,10
 Graduate,74,52,126
 Postgraduate diploma,2,2,4
 Master degree,1,2,3
 Other,-,6,6
 Total,1098,6510,7608
NotApp :,1128,*,*
AREA # 010201,Mohnyin,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,2126,9044,11170
 Grade 1,694,3690,4384
 Grade 2,993,5274,6267
 Grade 3,1538,7820,9358
 Grade 4,2150,11378,13528
 Grade 5,3877,23553,27430
 Grade 6,2175,9321,11496
 Grade 7,1855,8188,10043
 Grade 8,2092,8281,10373
 Grade 9,2511,9312,11823
 Grade 10,2014,5428,7442
 Grade 11,3079,6122,9201
 College,1916,2588,4504
 Vocational training,33,102,135
 Undergraduate diploma,149,144,293
 Graduate,3152,3522,6674
 Postgraduate diploma,59,74,133
 Master degree,50,101,151
 PhD,12,29,41
 Other,352,1123,1475
 Total,30827,115094,145921
NotApp :,14677,*,*
AREA # 010202,Mogaung,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,1555,9549,11104
 Grade 1,554,3446,4000
 Grade 2,767,4516,5283
 Grade 3,1097,6658,7755
 Grade 4,1335,8382,9717
 Grade 5,3392,17044,20436
 Grade 6,1608,7835,9443
 Grade 7,1441,6954,8395
 Grade 8,1701,7369,9070
 Grade 9,2000,7631,9631
 Grade 10,2024,5456,7480
 Grade 11,2495,5886,8381
 College,883,2210,3093
 Vocational training,10,45,55
 Undergraduate diploma,65,116,181
 Graduate,1829,3382,5211
 Postgraduate diploma,35,71,106
 Master degree,19,81,100
 PhD,1,6,7
 Other,19,142,161
 Total,22830,96779,119609
NotApp :,12999,*,*
AREA # 010203,Phakant,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,3299,16217,19516
 Grade 1,1056,4938,5994
 Grade 2,1305,6797,8102
 Grade 3,2093,11012,13105
 Grade 4,4265,19337,23602
 Grade 5,8549,39946,48495
 Grade 6,4839,20921,25760
 Grade 7,4137,17486,21623
 Grade 8,5297,19428,24725
 Grade 9,5825,22285,28110
 Grade 10,5330,18032,23362
 Grade 11,5036,19961,24997
 College,2124,5978,8102
 Vocational training,62,142,204
 Undergraduate diploma,127,422,549
 Graduate,2883,8553,11436
 Postgraduate diploma,35,156,191
 Master degree,29,107,136
 PhD,9,11,20
 Other,57,829,886
 Total,56357,232558,288915
NotApp :,23363,*,*
AREA # 010251,Hopin(ST),*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,1447,1626,3073
 Grade 1,560,732,1292
 Grade 2,776,1002,1778
 Grade 3,1126,1409,2535
 Grade 4,1616,2630,4246
 Grade 5,3220,4979,8199
 Grade 6,1641,1976,3617
 Grade 7,1386,1730,3116
 Grade 8,1566,1785,3351
