Urban_Rural,Internet_at_home_Yes,Internet_at_home_No,Internet_at_home_Total,Township,MIMU_code
 Urban,5810,33858,39668,Myitkyina,MMR001001
 Rural,264,10651,10915,Myitkyina,MMR001001
 Total,6074,44509,50583,Myitkyina,MMR001001
 Urban,278,3542,3820,Waingmaw,MMR001002
 Rural,227,15733,15960,Waingmaw,MMR001002
 Total,505,19275,19780,Waingmaw,MMR001002
 Urban,1,77,78,Ingyanyan,MMR001003
 Rural,-,207,207,Ingyanyan,MMR001003
 Total,1,284,285,Ingyanyan,MMR001003
 Urban,375,3319,3694,Tanaing,MMR001004
 Rural,33,2671,2704,Tanaing,MMR001004
 Total,408,5990,6398,Tanaing,MMR001004
 Urban,-,329,329,Chiphwe,MMR001005
 Rural,3,1599,1602,Chiphwe,MMR001005
 Total,3,1928,1931,Chiphwe,MMR001005
 Urban,-,66,66,Hsotlaw,MMR001006
 Rural,1,1006,1007,Hsotlaw,MMR001006
 Total,1,1072,1073,Hsotlaw,MMR001006
 Urban,2,702,704,Hsinbo(ST),MMR001001
 Rural,2,1302,1304,Hsinbo(ST),MMR001001
 Total,4,2004,2008,Hsinbo(ST),MMR001001
 Urban,10,500,510,Hsadone(ST),MMR001002
 Rural,3,1097,1100,Hsadone(ST),MMR001002
 Total,13,1597,1610,Hsadone(ST),MMR001002
 Urban,6,168,174,Kanpaikti(ST),MMR001002
 Rural,1,1295,1296,Kanpaikti(ST),MMR001002
 Total,7,1463,1470,Kanpaikti(ST),MMR001002
 Urban,1,1024,1025,Shinbwayyan(ST),MMR001004
 Rural,-,1105,1105,Shinbwayyan(ST),MMR001004
 Total,1,2129,2130,Shinbwayyan(ST),MMR001004
 Urban,4,192,196,Panwa(ST),MMR001005
 Rural,3,1176,1179,Panwa(ST),MMR001005
 Total,7,1368,1375,Panwa(ST),MMR001005
 Urban,726,5627,6353,Mohnyin,MMR001007
 Rural,331,23506,23837,Mohnyin,MMR001007
 Total,1057,29133,30190,Mohnyin,MMR001007
 Urban,571,3877,4448,Mogaung,MMR001008
 Rural,428,20022,20450,Mogaung,MMR001008
 Total,999,23899,24898,Mogaung,MMR001008
 Urban,141,6715,6856,Phakant,MMR001009
 Rural,591,25687,26278,Phakant,MMR001009
 Total,732,32402,33134,Phakant,MMR001009
 Urban,264,4277,4541,Hopin(ST),MMR001007
 Rural,155,4736,4891,Hopin(ST),MMR001007
 Total,419,9013,9432,Hopin(ST),MMR001007
 Urban,-,1030,1030,Kamine(ST),MMR001009
 Rural,1,2467,2468,Kamine(ST),MMR001009
 Total,1,3497,3498,Kamine(ST),MMR001009
 Urban,888,8627,9515,Bhamo,MMR001010
 Rural,310,14336,14646,Bhamo,MMR001010
 Total,1198,22963,24161,Bhamo,MMR001010
 Urban,276,3126,3402,Shwegu,MMR001011
 Rural,165,12261,12426,Shwegu,MMR001011
 Total,441,15387,15828,Shwegu,MMR001011
 Urban,11,2079,2090,Momauk,MMR001012
 Rural,52,6492,6544,Momauk,MMR001012
 Total,63,8571,8634,Momauk,MMR001012
 Urban,19,1599,1618,Mansi,MMR001013
 Rural,24,8912,8936,Mansi,MMR001013
 Total,43,10511,10554,Mansi,MMR001013
 Urban,1,360,361,Myohla(ST),MMR001011
 Rural,-,432,432,Myohla(ST),MMR001011
 Total,1,792,793,Myohla(ST),MMR001011
 Urban,25,1200,1225,Lwe`ge`(ST),MMR001012
 Rural,2,276,278,Lwe`ge`(ST),MMR001012
 Total,27,1476,1503,Lwe`ge`(ST),MMR001012
 Urban,-,311,311,Dotphoneyan(ST),MMR001012
 Rural,3,1919,1922,Dotphoneyan(ST),MMR001012
 Total,3,2230,2233,Dotphoneyan(ST),MMR001012
 Urban,35,2776,2811,Putao,MMR001014
 Rural,9,7923,7932,Putao,MMR001014
 Total,44,10699,10743,Putao,MMR001014
 Urban,-,172,172,Sumprabum,MMR001015
 Rural,-,307,307,Sumprabum,MMR001015
 Total,-,479,479,Sumprabum,MMR001015
 Urban,2,406,408,Machanbaw,MMR001016
 Rural,1,1310,1311,Machanbaw,MMR001016
 Total,3,1716,1719,Machanbaw,MMR001016
 Urban,-,70,70,Khaunglanphoo,MMR001018
 Rural,9,1632,1641,Khaunglanphoo,MMR001018
 Total,9,1702,1711,Khaunglanphoo,MMR001018
 Urban,1,359,360,Naungmoon,MMR001017
 Rural,-,583,583,Naungmoon,MMR001017
 Total,1,942,943,Naungmoon,MMR001017
 Urban,1,23,24,Pannandin(ST),MMR001017
 Rural,-,245,245,Pannandin(ST),MMR001017
 Total,1,268,269,Pannandin(ST),MMR001017
 Urban,1430,8992,10422,Loikaw,MMR002001
 Rural,728,15345,16073,Loikaw,MMR002001
 Total,2158,24337,26495,Loikaw,MMR002001
 Urban,61,1076,1137,Dimawso,MMR002002
 Rural,146,14064,14210,Dimawso,MMR002002
 Total,207,15140,15347,Dimawso,MMR002002
 Urban,2,851,853,Phruso,MMR002003
 Rural,2,5055,5057,Phruso,MMR002003
 Total,4,5906,5910,Phruso,MMR002003
 Urban,-,336,336,Shardaw,MMR002004
 Rural,1,1069,1070,Shardaw,MMR002004
 Total,1,1405,1406,Shardaw,MMR002004
 Urban,2,837,839,Bawlakhe,MMR002005
 Rural,-,750,750,Bawlakhe,MMR002005
 Total,2,1587,1589,Bawlakhe,MMR002005
 Urban,1,593,594,Parsaung,MMR002006
 Rural,18,4121,4139,Parsaung,MMR002006
 Total,19,4714,4733,Parsaung,MMR002006
 Urban,-,195,195,Meisi,MMR002007
 Rural,1,1106,1107,Meisi,MMR002007
 Total,1,1301,1302,Meisi,MMR002007
 Urban,1,291,292,Ywathit(ST),MMR002005
 Rural,-,200,200,Ywathit(ST),MMR002005
 Total,1,491,492,Ywathit(ST),MMR002005
 Urban,2217,12551,14768,Hpa-an,MMR003001
 Rural,1923,72506,74429,Hpa-an,MMR003001
 Total,4140,85057,89197,Hpa-an,MMR003001
 Urban,42,2237,2279,Hlaingbwe,MMR003002
 Rural,63,29244,29307,Hlaingbwe,MMR003002
 Total,105,31481,31586,Hlaingbwe,MMR003002
 Urban,112,2950,3062,Thandaunggyi,MMR003004
 Rural,6,2741,2747,Thandaunggyi,MMR003004
 Total,118,5691,5809,Thandaunggyi,MMR003004
 Urban,2,805,807,Paingkyon(ST),MMR003002
 Rural,44,16927,16971,Paingkyon(ST),MMR003002
 Total,46,17732,17778,Paingkyon(ST),MMR003002
 Urban,-,83,83,Shan Ywathit(ST),MMR003002
 Rural,-,3673,3673,Shan Ywathit(ST),MMR003002
 Total,-,3756,3756,Shan Ywathit(ST),MMR003002
 Urban,4,603,607,Leiktho(ST),MMR003004
 Rural,10,9309,9319,Leiktho(ST),MMR003004
 Total,14,9912,9926,Leiktho(ST),MMR003004
 Urban,16,420,436,Bawgali(ST),MMR003004
 Rural,6,2963,2969,Bawgali(ST),MMR003004
 Total,22,3383,3405,Bawgali(ST),MMR003004
 Urban,-,633,633,Pharpon,MMR003003
 Rural,4,1907,1911,Pharpon,MMR003003
 Total,4,2540,2544,Pharpon,MMR003003
 Urban,57,2692,2749,Kamamaung(ST},MMR003003
 Rural,5,1204,1209,Kamamaung(ST},MMR003003
 Total,62,3896,3958,Kamamaung(ST},MMR003003
 Urban,749,23267,24016,Myawady,MMR003005
 Rural,230,17012,17242,Myawady,MMR003005
 Total,979,40279,41258,Myawady,MMR003005
 Urban,2,73,75,Sugali(ST),MMR003005
 Rural,2,984,986,Sugali(ST),MMR003005
 Total,4,1057,1061,Sugali(ST),MMR003005
 Urban,-,577,577,Wawlaymyaing(ST),MMR003005
 Rural,8,1112,1120,Wawlaymyaing(ST),MMR003005
 Total,8,1689,1697,Wawlaymyaing(ST),MMR003005
 Urban,491,7991,8482,Kawkareik,MMR003006
 Rural,545,36471,37016,Kawkareik,MMR003006
 Total,1036,44462,45498,Kawkareik,MMR003006
 Urban,190,1627,1817,Kyarinseikkyi,MMR003007
 Rural,157,20066,20223,Kyarinseikkyi,MMR003007
 Total,347,21693,22040,Kyarinseikkyi,MMR003007
 Urban,365,5731,6096,Payarthonezu(ST),MMR003007
 Rural,15,11684,11699,Payarthonezu(ST),MMR003007
 Total,380,17415,17795,Payarthonezu(ST),MMR003007
 Urban,-,680,680,Kyaidon(ST),MMR003007
 Rural,8,10045,10053,Kyaidon(ST),MMR003007
 Total,8,10725,10733,Kyaidon(ST),MMR003007
 Urban,358,4863,5221,HaKa,MMR004002
 Rural,16,4680,4696,HaKa,MMR004002
 Total,374,9543,9917,HaKa,MMR004002
 Urban,38,1469,1507,Thantlang,MMR004003
 Rural,42,8233,8275,Thantlang,MMR004003
 Total,80,9702,9782,Thantlang,MMR004003
 Urban,226,1776,2002,Falam,MMR004001
 Rural,19,6407,6426,Falam,MMR004001
 Total,245,8183,8428,Falam,MMR004001
 Urban,100,2150,2250,Tedim,MMR004004
 Rural,174,12259,12433,Tedim,MMR004004
 Total,274,14409,14683,Tedim,MMR004004
 Urban,24,616,640,Tonzaung,MMR004005
 Rural,2,2769,2771,Tonzaung,MMR004005
 Total,26,3385,3411,Tonzaung,MMR004005
 Urban,-,670,670,Rihkhuadal(ST),MMR004001
 Rural,-,528,528,Rihkhuadal(ST),MMR004001
 Total,-,1198,1198,Rihkhuadal(ST),MMR004001
 Urban,-,215,215,Cikha(ST),MMR004005
 Rural,-,1315,1315,Cikha(ST),MMR004005
 Total,-,1530,1530,Cikha(ST),MMR004005
 Urban,98,2245,2343,Mindat,MMR004006
 Rural,8,6171,6179,Mindat,MMR004006
 Total,106,8416,8522,Mindat,MMR004006
 Urban,28,1642,1670,Matupi,MMR004007
 Rural,7,5959,5966,Matupi,MMR004007
 Total,35,7601,7636,Matupi,MMR004007
 Urban,1,806,807,Kanpalet,MMR004008
 Rural,5,3165,3170,Kanpalet,MMR004008
 Total,6,3971,3977,Kanpalet,MMR004008
 Urban,4,1346,1350,Paletwat,MMR004009
 Rural,8,11935,11943,Paletwat,MMR004009
 Total,12,13281,13293,Paletwat,MMR004009
 Urban,2,460,462,Reazu(ST),MMR004007
 Rural,12,2047,2059,Reazu(ST),MMR004007
 Total,14,2507,2521,Reazu(ST),MMR004007
 Urban,11,622,633,Sami(ST),MMR004009
 Rural,4,5586,5590,Sami(ST),MMR004009
 Total,15,6208,6223,Sami(ST),MMR004009
 Urban,484,16012,16496,Sagaing,MMR005001
 Rural,550,48097,48647,Sagaing,MMR005001
 Total,1034,64109,65143,Sagaing,MMR005001
 Urban,269,3362,3631,Myinmu,MMR005002
 Rural,146,21527,21673,Myinmu,MMR005002
 Total,415,24889,25304,Myinmu,MMR005002
 Urban,86,1867,1953,Myaung,MMR005003
 Rural,190,22119,22309,Myaung,MMR005003
 Total,276,23986,24262,Myaung,MMR005003
 Urban,1534,11997,13531,Shwebo,MMR005004
 Rural,838,35878,36716,Shwebo,MMR005004
 Total,2372,47875,50247,Shwebo,MMR005004
 Urban,338,1953,2291,Khin U,MMR005005
 Rural,310,30023,30333,Khin U,MMR005005
 Total,648,31976,32624,Khin U,MMR005005
 Urban,270,2036,2306,Wetlet,MMR005006
 Rural,781,43625,44406,Wetlet,MMR005006
 Total,1051,45661,46712,Wetlet,MMR005006
 Urban,365,4818,5183,Kambalu,MMR005007
 Rural,635,55508,56143,Kambalu,MMR005007
 Total,1000,60326,61326,Kambalu,MMR005007
 Urban,389,2110,2499,Kyunhlau,MMR005008
 Rural,114,18250,18364,Kyunhlau,MMR005008
 Total,503,20360,20863,Kyunhlau,MMR005008
 Urban,452,3513,3965,Ye U,MMR005009
 Rural,276,22132,22408,Ye U,MMR005009
 Total,728,25645,26373,Ye U,MMR005009
 Urban,118,837,955,Depayin,MMR005010
 Rural,614,28776,29390,Depayin,MMR005010
 Total,732,29613,30345,Depayin,MMR005010
 Urban,265,2707,2972,Tasei,MMR005011
 Rural,268,32697,32965,Tasei,MMR005011
 Total,533,35404,35937,Tasei,MMR005011
 Urban,178,2128,2306,Kyaukmyaung(ST),MMR005004
 Rural,107,4637,4744,Kyaukmyaung(ST),MMR005004
 Total,285,6765,7050,Kyaukmyaung(ST),MMR005004
 Urban,4336,36070,40406,Monywa,MMR005012
 Rural,1385,34171,35556,Monywa,MMR005012
 Total,5721,70241,75962,Monywa,MMR005012
 Urban,221,972,1193,Butalin,MMR005013
 Rural,349,27074,27423,Butalin,MMR005013
 Total,570,28046,28616,Butalin,MMR005013
 Urban,145,2010,2155,Ayartaw,MMR005014
 Rural,259,33177,33436,Ayartaw,MMR005014
 Total,404,35187,35591,Ayartaw,MMR005014
 Urban,314,4767,5081,Chaung Oo,MMR005015
 Rural,303,17992,18295,Chaung Oo,MMR005015
 Total,617,22759,23376,Chaung Oo,MMR005015
 Urban,923,4340,5263,Katha,MMR005020
 Rural,378,26320,26698,Katha,MMR005020
 Total,1301,30660,31961,Katha,MMR005020
 Urban,255,1587,1842,Indaw,MMR005021
 Rural,614,20774,21388,Indaw,MMR005021
 Total,869,22361,23230,Indaw,MMR005021
 Urban,427,2643,3070,Tigyaing,MMR005022
 Rural,489,22830,23319,Tigyaing,MMR005022
 Total,916,25473,26389,Tigyaing,MMR005022
 Urban,3,1209,1212,Banmauk,MMR005023
 Rural,24,17632,17656,Banmauk,MMR005023
 Total,27,18841,18868,Banmauk,MMR005023
 Urban,448,4121,4569,Kawlin,MMR005024
 Rural,387,26447,26834,Kawlin,MMR005024
 Total,835,30568,31403,Kawlin,MMR005024
 Urban,468,2122,2590,Wuntho,MMR005025
 Rural,205,11410,11615,Wuntho,MMR005025
 Total,673,13532,14205,Wuntho,MMR005025
 Urban,28,1441,1469,Pinlebu,MMR005026
 Rural,15,20416,20431,Pinlebu,MMR005026
 Total,43,21857,21900,Pinlebu,MMR005026
 Urban,2265,23456,25721,Kalay,MMR014005
 Rural,967,46081,47048,Kalay,MMR014005
 Total,3232,69537,72769,Kalay,MMR014005
 Urban,101,1852,1953,Kalewa,MMR005028
 Rural,44,9738,9782,Kalewa,MMR005028
 Total,145,11590,11735,Kalewa,MMR005028
 Urban,4,832,836,Mingin,MMR005029
 Rural,12,21210,21222,Mingin,MMR005029
 Total,16,22042,22058,Mingin,MMR005029
 Urban,650,8339,8989,Tamu,MMR005030
 Rural,13,2984,2997,Tamu,MMR005030
 Total,663,11323,11986,Tamu,MMR005030
 Urban,5,303,308,Myothit(ST),MMR005030
 Rural,5,2784,2789,Myothit(ST),MMR005030
 Total,10,3087,3097,Myothit(ST),MMR005030
 Urban,84,2754,2838,Khampat(ST),MMR005030
 Rural,41,4629,4670,Khampat(ST),MMR005030
 Total,125,7383,7508,Khampat(ST),MMR005030
 Urban,244,1580,1824,Mawlaik,MMR005031
 Rural,62,8459,8521,Mawlaik,MMR005031
 Total,306,10039,10345,Mawlaik,MMR005031
 Urban,17,1925,1942,Phaungpyin,MMR005032
 Rural,36,18268,18304,Phaungpyin,MMR005032
 Total,53,20193,20246,Phaungpyin,MMR005032
 Urban,49,2134,2183,Hkamti,MMR005033
 Rural,22,5156,5178,Hkamti,MMR005033
 Total,71,7290,7361,Hkamti,MMR005033
 Urban,132,3443,3575,Homalin,MMR005034
 Rural,199,31969,32168,Homalin,MMR005034
 Total,331,35412,35743,Homalin,MMR005034
 Urban,-,253,253,Leshi,MMR005035
 Rural,1,1402,1403,Leshi,MMR005035
 Total,1,1655,1656,Leshi,MMR005035
 Urban,-,538,538,Lahe,MMR005036
 Rural,2,6437,6439,Lahe,MMR005036
 Total,2,6975,6977,Lahe,MMR005036
 Urban,3,372,375,Nanyun,MMR005037
 Rural,-,1193,1193,Nanyun,MMR005037
 Total,3,1565,1568,Nanyun,MMR005037
 Urban,1,209,210,Mobaingluk(ST),MMR005035
 Rural,-,100,100,Mobaingluk(ST),MMR005035
 Total,1,309,310,Mobaingluk(ST),MMR005035
 Urban,1,285,286,Sonemara(ST),MMR005035
 Rural,1,907,908,Sonemara(ST),MMR005035
 Total,2,1192,1194,Sonemara(ST),MMR005035
 Urban,-,128,128,Htanparkway(ST),MMR005036
 Rural,-,633,633,Htanparkway(ST),MMR005036
 Total,-,761,761,Htanparkway(ST),MMR005036
 Urban,1,337,338,Pansaung(ST),MMR005037
 Rural,2,2009,2011,Pansaung(ST),MMR005037
 Total,3,2346,2349,Pansaung(ST),MMR005037
 Urban,-,169,169,Donhee(ST),MMR005037
 Rural,-,3754,3754,Donhee(ST),MMR005037
 Total,-,3923,3923,Donhee(ST),MMR005037
 Urban,167,910,1077,Yinmarpin,MMR005016
 Rural,405,28050,28455,Yinmarpin,MMR005016
 Total,572,28960,29532,Yinmarpin,MMR005016
 Urban,133,1089,1222,Salingyi,MMR005018
 Rural,871,24374,25245,Salingyi,MMR005018
 Total,1004,25463,26467,Salingyi,MMR005018
 Urban,105,826,931,Palae,MMR005019
 Rural,577,30854,31431,Palae,MMR005019
 Total,682,31680,32362,Palae,MMR005019
 Urban,131,1007,1138,Kani,MMR005017
 Rural,100,27985,28085,Kani,MMR005017
 Total,231,28992,29223,Kani,MMR005017
 Urban,3074,12308,15382,Dawei,MMR006001
 Rural,468,9093,9561,Dawei,MMR006001
 Total,3542,21401,24943,Dawei,MMR006001
 Urban,276,964,1240,Lounglon,MMR006002
 Rural,1321,23174,24495,Lounglon,MMR006002
 Total,1597,24138,25735,Lounglon,MMR006002
 Urban,392,2015,2407,Thayetchaung,MMR006003
 Rural,271,20196,20467,Thayetchaung,MMR006003
 Total,663,22211,22874,Thayetchaung,MMR006003
 Urban,177,900,1077,Yebyu,MMR006004
 Rural,212,20784,20996,Yebyu,MMR006004
 Total,389,21684,22073,Yebyu,MMR006004
 Urban,2,494,496,Myitta(ST),MMR006001
 Rural,5,3689,3694,Myitta(ST),MMR006001
 Total,7,4183,4190,Myitta(ST),MMR006001
 Urban,7,617,624,Kaleinaung(ST),MMR006004
 Rural,21,3632,3653,Kaleinaung(ST),MMR006004
 Total,28,4249,4277,Kaleinaung(ST),MMR006004
 Urban,4325,17223,21548,Myeik,MMR006005
 Rural,2018,30783,32801,Myeik,MMR006005
 Total,6343,48006,54349,Myeik,MMR006005
 Urban,261,881,1142,Kyunsu,MMR006006
 Rural,211,31635,31846,Kyunsu,MMR006006
 Total,472,32516,32988,Kyunsu,MMR006006
 Urban,271,3300,3571,Palaw,MMR006007
 Rural,287,14667,14954,Palaw,MMR006007
 Total,558,17967,18525,Palaw,MMR006007
 Urban,342,784,1126,Tanintharyi,MMR006008
 Rural,101,18702,18803,Tanintharyi,MMR006008
 Total,443,19486,19929,Tanintharyi,MMR006008
 Urban,108,1103,1211,Palauk(ST),MMR006007
 Rural,56,5861,5917,Palauk(ST),MMR006007
 Total,164,6964,7128,Palauk(ST),MMR006007
 Urban,799,11781,12580,Kawthoung,MMR006009
 Rural,206,12695,12901,Kawthoung,MMR006009
 Total,1005,24476,25481,Kawthoung,MMR006009
 Urban,209,838,1047,Bokepyin,MMR006010
 Rural,170,7659,7829,Bokepyin,MMR006010
 Total,379,8497,8876,Bokepyin,MMR006010
 Urban,25,2330,2355,Khamaukgyi,MMR006009
 Rural,36,2474,2510,Khamaukgyi,MMR006009
 Total,61,4804,4865,Khamaukgyi,MMR006009
 Urban,2,713,715,Pyigyimandaing,MMR006010
 Rural,1,2388,2389,Pyigyimandaing,MMR006010
