Urban_Rural,Radio_Yes,Radio_No,Radio_Total,Township,MIMU_code
 Urban,21678,17990,39668,Myitkyina,MMR001001
 Rural,5880,5035,10915,Myitkyina,MMR001001
 Total,27558,23025,50583,Myitkyina,MMR001001
 Urban,2058,1762,3820,Waingmaw,MMR001002
 Rural,7270,8690,15960,Waingmaw,MMR001002
 Total,9328,10452,19780,Waingmaw,MMR001002
 Urban,39,39,78,Ingyanyan,MMR001003
 Rural,76,131,207,Ingyanyan,MMR001003
 Total,115,170,285,Ingyanyan,MMR001003
 Urban,1614,2080,3694,Tanaing,MMR001004
 Rural,1096,1608,2704,Tanaing,MMR001004
 Total,2710,3688,6398,Tanaing,MMR001004
 Urban,135,194,329,Chiphwe,MMR001005
 Rural,370,1232,1602,Chiphwe,MMR001005
 Total,505,1426,1931,Chiphwe,MMR001005
 Urban,34,32,66,Hsotlaw,MMR001006
 Rural,356,651,1007,Hsotlaw,MMR001006
 Total,390,683,1073,Hsotlaw,MMR001006
 Urban,349,355,704,Hsinbo(ST),MMR001001
 Rural,496,808,1304,Hsinbo(ST),MMR001001
 Total,845,1163,2008,Hsinbo(ST),MMR001001
 Urban,145,365,510,Hsadone(ST),MMR001002
 Rural,280,820,1100,Hsadone(ST),MMR001002
 Total,425,1185,1610,Hsadone(ST),MMR001002
 Urban,30,144,174,Kanpaikti(ST),MMR001002
 Rural,268,1028,1296,Kanpaikti(ST),MMR001002
 Total,298,1172,1470,Kanpaikti(ST),MMR001002
 Urban,393,632,1025,Shinbwayyan(ST),MMR001004
 Rural,413,692,1105,Shinbwayyan(ST),MMR001004
 Total,806,1324,2130,Shinbwayyan(ST),MMR001004
 Urban,55,141,196,Panwa(ST),MMR001005
 Rural,149,1030,1179,Panwa(ST),MMR001005
 Total,204,1171,1375,Panwa(ST),MMR001005
 Urban,2558,3795,6353,Mohnyin,MMR001007
 Rural,12246,11591,23837,Mohnyin,MMR001007
 Total,14804,15386,30190,Mohnyin,MMR001007
 Urban,1604,2844,4448,Mogaung,MMR001008
 Rural,8573,11877,20450,Mogaung,MMR001008
 Total,10177,14721,24898,Mogaung,MMR001008
 Urban,2042,4814,6856,Phakant,MMR001009
 Rural,7846,18432,26278,Phakant,MMR001009
 Total,9888,23246,33134,Phakant,MMR001009
 Urban,2420,2121,4541,Hopin(ST),MMR001007
 Rural,2895,1996,4891,Hopin(ST),MMR001007
 Total,5315,4117,9432,Hopin(ST),MMR001007
 Urban,477,553,1030,Kamine(ST),MMR001009
 Rural,1319,1149,2468,Kamine(ST),MMR001009
 Total,1796,1702,3498,Kamine(ST),MMR001009
 Urban,4924,4591,9515,Bhamo,MMR001010
 Rural,7493,7153,14646,Bhamo,MMR001010
 Total,12417,11744,24161,Bhamo,MMR001010
 Urban,796,2606,3402,Shwegu,MMR001011
