Disability_remembering,Age_Under_1,Age_1,Age_2,Age_3,Age_4,Age_5,Age_6,Age_7,Age_8,Age_9,Age_10,Age_11,Age_12,Age_13,Age_14,Age_15,Age_16,Age_17,Age_18,Age_19,Age_20,Age_21,Age_22,Age_23,Age_24,Age_25,Age_26,Age_27,Age_28,Age_29,Age_30,Age_31,Age_32,Age_33,Age_34,Age_35,Age_36,Age_37,Age_38,Age_39,Age_40,Age_41,Age_42,Age_43,Age_44,Age_45,Age_46,Age_47,Age_48,Age_49,Age_50,Age_51,Age_52,Age_53,Age_54,Age_55,Age_56,Age_57,Age_58,Age_59,Age_60,Age_61,Age_62,Age_63,Age_64,Age_65,Age_66,Age_67,Age_68,Age_69,Age_70,Age_71,Age_72,Age_73,Age_74,Age_75,Age_76,Age_77,Age_78,Age_79,Age_80,Age_81,Age_82,Age_83,Age_84,Age_85,Age_86,Age_87,Age_88,Age_89,Age_90_and_above,Age_Total,Township,MIMU_code
 No - no difficulty,820,855,847,911,941,930,911,926,760,777,975,848,1095,983,920,869,824,885,1223,1123,1567,1290,1423,1432,1239,1382,1132,1191,1205,1034,1295,861,976,850,759,993,684,676,742,570,749,496,654,557,436,652,471,443,466,404,485,327,377,378,351,465,336,258,291,227,310,176,198,181,161,183,119,142,102,50,143,41,47,67,51,114,60,39,49,19,62,29,24,28,14,38,19,15,10,5,36,51079,Dekkhinathiri,MMR018004
 Yes - some difficulty,7,12,5,7,5,4,4,1,-,2,6,4,1,2,3,2,-,2,-,-,3,2,1,1,1,-,-,1,-,5,1,2,-,-,-,1,-,-,-,1,-,1,-,3,5,2,1,1,-,1,2,1,1,1,-,2,-,3,1,2,2,2,1,2,3,4,3,4,1,-,6,-,3,1,2,2,4,-,2,1,6,2,4,1,2,3,1,2,1,1,3,182,Dekkhinathiri,MMR018004
 Yes - a lot of difficulty,8,1,1,-,1,-,-,-,-,-,-,-,-,1,-,1,-,-,1,-,-,1,1,1,-,-,-,1,1,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,1,1,-,2,1,1,1,2,-,2,1,-,-,-,38,Dekkhinathiri,MMR018004
 Yes - cannot remember/concentrate at all,5,1,3,1,-,-,-,1,-,-,1,-,1,-,-,1,-,-,1,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,-,-,1,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,1,-,-,-,-,1,1,-,-,-,-,-,-,2,-,-,-,-,-,29,Dekkhinathiri,MMR018004
 Total,840,869,856,919,947,934,915,928,760,779,982,852,1097,986,923,873,824,887,1225,1123,1571,1293,1425,1434,1240,1382,1132,1194,1206,1039,1297,863,976,850,759,995,684,676,743,571,749,497,654,561,441,654,473,446,466,405,488,328,378,380,351,468,336,261,292,229,312,178,200,183,164,187,122,146,104,50,149,41,52,68,53,117,64,41,53,20,70,32,29,30,18,43,22,18,11,6,39,51328,Dekkhinathiri,MMR018004
 No - no difficulty,805677,834616,873810,937459,967390,933064,966341,989779,951128,944930,1014372,937005,1040544,1075989,1003474,955367,879635,902014,1013318,848368,1044799,807923,842516,839438,772547,957356,753624,795230,865791,749482,1014296,691410,769996,751739,643524,880306,640100,658228,742362,613352,816543,529261,708257,638757,553750,770624,543328,539242,580932,467543,660688,431180,485278,495056,431177,535614,406179,371637,380454,299520,459019,253534,282176,277553,236865,319225,192126,216067,162247,112603,210668,95270,118455,119247,101663,175183,89961,77590,91267,50045,94815,45334,49707,46928,37765,46896,26462,21712,16698,12173,51729,49444302,Dekkhinathiri,MMR018004
 Yes - some difficulty,8829,7784,6311,5342,4368,3623,3741,4116,4046,4139,4551,3916,4375,4344,3576,3485,3207,2815,3063,2457,3610,2321,2578,2532,2468,3611,2577,2864,3139,2897,4857,2858,3555,3614,3125,5144,3386,3728,4393,3835,6893,3854,5876,5487,5307,8814,6223,6423,7549,6351,12257,6917,8494,9352,8558,12194,9772,8863,9914,8147,17208,8616,9999,10584,9998,15282,9547,11152,9088,6618,18048,6884,9696,10309,9603,18420,9564,8629,11225,6462,15625,6760,7929,7896,6583,8840,4928,4083,3217,2450,12749,610417,Dekkhinathiri,MMR018004
 Yes - a lot of difficulty,5697,2708,1769,1340,1281,1170,1332,1591,1599,1720,1832,1579,1803,1866,1650,1501,1269,1235,1315,1063,1523,973,953,933,858,1310,886,891,969,788,1606,775,952,985,765,1361,763,835,943,716,1649,693,1021,847,832,1465,870,882,1103,824,1993,847,1119,1202,1056,1549,1223,1141,1214,973,2484,975,1214,1429,1280,2182,1198,1482,1320,939,3364,1029,1579,1724,1616,3437,1764,1525,2302,1348,3997,1564,1893,1996,1756,2533,1420,1183,1079,851,5260,135331,Dekkhinathiri,MMR018004
 Yes - cannot remember/concentrate at all,3175,1286,1041,1099,1148,1120,1324,1401,1419,1494,1601,1356,1560,1495,1474,1336,1202,1148,1262,929,1578,906,943,885,785,1225,898,922,966,708,1545,676,932,920,731,1288,654,682,816,588,1343,555,820,734,594,1290,663,701,793,528,1430,523,753,723,629,1004,668,646,718,507,1374,514,682,685,656,1112,577,706,591,431,1475,419,677,722,722,1561,725,680,1022,588,1803,636,878,912,799,1225,716,652,525,426,3219,89850,Dekkhinathiri,MMR018004
 Total,823378,846394,882931,945240,974187,938977,972738,996887,958192,952283,1022356,943856,1048282,1083694,1010174,961689,885313,907212,1018958,852817,1051510,812123,846990,843788,776658,963502,757985,799907,870865,753875,1022304,695719,775435,757258,648145,888099,644903,663473,748514,618491,826428,534363,715974,645825,560483,782193,551084,547248,590377,475246,676368,439467,495644,506333,441420,550361,417842,382287,392300,309147,480085,263639,294071,290251,248799,337801,203448,229407,173246,120591,233555,103602,130407,132002,113604,198601,102014,88424,105816,58443,116240,54294,60407,57732,46903,59494,33526,27630,21519,15900,72957,50279900,Dekkhinathiri,MMR018004
