Disability_seeing,Age_Under_1,Age_1,Age_2,Age_3,Age_4,Age_5,Age_6,Age_7,Age_8,Age_9,Age_10,Age_11,Age_12,Age_13,Age_14,Age_15,Age_16,Age_17,Age_18,Age_19,Age_20,Age_21,Age_22,Age_23,Age_24,Age_25,Age_26,Age_27,Age_28,Age_29,Age_30,Age_31,Age_32,Age_33,Age_34,Age_35,Age_36,Age_37,Age_38,Age_39,Age_40,Age_41,Age_42,Age_43,Age_44,Age_45,Age_46,Age_47,Age_48,Age_49,Age_50,Age_51,Age_52,Age_53,Age_54,Age_55,Age_56,Age_57,Age_58,Age_59,Age_60,Age_61,Age_62,Age_63,Age_64,Age_65,Age_66,Age_67,Age_68,Age_69,Age_70,Age_71,Age_72,Age_73,Age_74,Age_75,Age_76,Age_77,Age_78,Age_79,Age_80,Age_81,Age_82,Age_83,Age_84,Age_85,Age_86,Age_87,Age_88,Age_89,Age_90_and_above,Age_Total,Township,MIMU_code
 No - no difficulty,832,869,855,917,947,934,912,928,759,778,979,851,1096,983,921,873,822,887,1224,1122,1567,1292,1422,1432,1238,1381,1131,1193,1205,1037,1294,863,975,850,758,992,681,676,741,569,746,495,650,555,434,643,464,440,461,402,480,324,376,374,345,454,329,254,281,223,308,172,197,178,156,181,120,140,101,49,141,39,46,65,50,109,57,36,48,20,61,31,26,26,14,35,20,14,10,5,34,51005,Dekkhinathiri,MMR018004
 Yes - some difficulty,5,-,1,1,-,-,3,-,1,1,1,1,-,3,1,-,2,-,1,1,2,1,1,1,2,-,1,-,1,2,3,-,1,-,1,2,2,-,2,2,3,2,4,6,5,10,8,6,5,3,8,4,2,6,6,13,6,6,11,6,4,6,3,5,7,5,2,6,3,1,7,2,5,3,3,7,6,4,3,-,7,1,3,3,4,8,1,3,1,1,5,285,Dekkhinathiri,MMR018004
 Yes - a lot of difficulty,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,2,1,1,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,1,1,-,2,-,2,-,-,-,-,-,1,1,-,-,-,19,Dekkhinathiri,MMR018004
 Yes - cannot see at all,2,-,-,1,-,-,-,-,-,-,2,-,1,-,-,-,-,-,-,-,2,-,2,1,-,1,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,19,Dekkhinathiri,MMR018004
 Total,840,869,856,919,947,934,915,928,760,779,982,852,1097,986,923,873,824,887,1225,1123,1571,1293,1425,1434,1240,1382,1132,1194,1206,1039,1297,863,976,850,759,995,684,676,743,571,749,497,654,561,441,654,473,446,466,405,488,328,378,380,351,468,336,261,292,229,312,178,200,183,164,187,122,146,104,50,149,41,52,68,53,117,64,41,53,20,70,32,29,30,18,43,22,18,11,6,39,51328,Dekkhinathiri,MMR018004
 No - no difficulty,819442,844832,881622,943850,972800,937553,971016,994977,956259,950276,1019988,941675,1045753,1080768,1007299,958589,882191,904186,1015870,850264,1048321,809687,844437,841104,774083,960090,755220,796768,867258,750512,1017267,692112,771172,752734,644010,881948,640160,658079,741441,611522,814515,524905,701277,630520,544563,758428,531407,526804,566586,454076,644271,416972,469297,477782,415720,516486,389808,356460,364164,285631,438449,240314,267552,261917,222735,299979,179197,201154,150560,104013,194244,87191,108195,108540,92416,158521,81484,70001,82327,45182,85694,40661,44808,42479,34247,42556,24045,19913,15307,11225,48450,49030163,Dekkhinathiri,MMR018004
 Yes - some difficulty,2445,1054,885,893,905,940,1148,1346,1338,1396,1660,1612,1874,2184,2228,2430,2496,2462,2400,2055,2461,1924,2075,2172,2083,2745,2261,2548,3000,2829,4090,3087,3621,3843,3549,5239,4135,4713,6282,6303,10690,8731,13596,14267,14869,22178,18491,19229,22338,19908,29777,21049,24596,26609,23969,31252,25850,23673,25713,21548,37383,21202,23881,25315,23227,33188,21389,24543,19647,14344,33102,14081,18728,19699,17853,32868,17032,15148,18990,10608,23477,10751,12036,11485,9577,12349,6930,5501,4428,3300,15626,1078732,Dekkhinathiri,MMR018004
 Yes - a lot of difficulty,912,268,202,244,264,242,328,307,351,362,397,338,395,445,400,397,390,330,382,285,411,274,253,301,292,387,285,341,354,307,533,317,369,399,356,567,386,425,489,444,760,507,755,718,757,1112,874,907,1069,944,1690,1072,1306,1456,1307,1933,1633,1613,1802,1437,3002,1585,1907,2178,2108,3249,2059,2612,2120,1561,4322,1658,2439,2747,2348,4971,2524,2270,3113,1827,4822,1998,2429,2534,2088,2968,1673,1458,1145,825,5420,116341,Dekkhinathiri,MMR018004
 Yes - cannot see at all,579,240,222,253,218,242,246,257,244,249,311,231,260,297,247,273,236,234,306,213,317,238,225,211,200,280,219,250,253,227,414,203,273,282,230,345,222,256,302,222,463,220,346,320,294,475,312,308,384,318,630,374,445,486,424,690,551,541,621,531,1251,538,731,841,729,1385,803,1098,919,673,1887,672,1045,1016,987,2241,974,1005,1386,826,2247,884,1134,1234,991,1621,878,758,639,550,3461,54664,Dekkhinathiri,MMR018004
 Total,823378,846394,882931,945240,974187,938977,972738,996887,958192,952283,1022356,943856,1048282,1083694,1010174,961689,885313,907212,1018958,852817,1051510,812123,846990,843788,776658,963502,757985,799907,870865,753875,1022304,695719,775435,757258,648145,888099,644903,663473,748514,618491,826428,534363,715974,645825,560483,782193,551084,547248,590377,475246,676368,439467,495644,506333,441420,550361,417842,382287,392300,309147,480085,263639,294071,290251,248799,337801,203448,229407,173246,120591,233555,103602,130407,132002,113604,198601,102014,88424,105816,58443,116240,54294,60407,57732,46903,59494,33526,27630,21519,15900,72957,50279900,Dekkhinathiri,MMR018004
