Activity_status,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Employee (Government),4310,4678,8988,Chanmyatharzi,MMR010004
" Employee (Private, Org)",44587,22964,67551,Chanmyatharzi,MMR010004
 Employer,3545,1287,4832,Chanmyatharzi,MMR010004
 Own account worker,25099,17547,42646,Chanmyatharzi,MMR010004
 Contributing family worker,4642,4462,9104,Chanmyatharzi,MMR010004
 Sought work,2743,1941,4684,Chanmyatharzi,MMR010004
 Did not seek work,594,248,842,Chanmyatharzi,MMR010004
 Full time student,17218,17925,35143,Chanmyatharzi,MMR010004
 Household work,1389,42756,44145,Chanmyatharzi,MMR010004
" Pensioner, retired, elderly person",6701,8400,15101,Chanmyatharzi,MMR010004
" Ill, disabled",810,629,1439,Chanmyatharzi,MMR010004
 Other,4551,2599,7150,Chanmyatharzi,MMR010004
 Total,116189,125436,241625,Chanmyatharzi,MMR010004
