Activity_status,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Employee (Government),2760,1970,4730,Dala,MMR013030
" Employee (Private, Org)",25064,7691,32755,Dala,MMR013030
 Employer,1699,550,2249,Dala,MMR013030
 Own account worker,13508,8288,21796,Dala,MMR013030
 Contributing family worker,1472,1601,3073,Dala,MMR013030
 Sought work,3450,2349,5799,Dala,MMR013030
 Did not seek work,723,442,1165,Dala,MMR013030
 Full time student,9710,9468,19178,Dala,MMR013030
 Household work,1093,33026,34119,Dala,MMR013030
" Pensioner, retired, elderly person",3286,3676,6962,Dala,MMR013030
" Ill, disabled",818,574,1392,Dala,MMR013030
 Other,4713,2730,7443,Dala,MMR013030
 Total,68296,72365,140661,Dala,MMR013030
