Activity_status,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Employee (Government),901,1571,2472,Daydaye,MMR017026
" Employee (Private, Org)",25588,7434,33022,Daydaye,MMR017026
 Employer,6791,1406,8197,Daydaye,MMR017026
 Own account worker,19362,8188,27550,Daydaye,MMR017026
 Contributing family worker,4811,5131,9942,Daydaye,MMR017026
 Sought work,2081,1097,3178,Daydaye,MMR017026
 Did not seek work,335,215,550,Daydaye,MMR017026
 Full time student,11283,11686,22969,Daydaye,MMR017026
 Household work,835,39725,40560,Daydaye,MMR017026
" Pensioner, retired, elderly person",2896,4436,7332,Daydaye,MMR017026
" Ill, disabled",835,713,1548,Daydaye,MMR017026
 Other,3422,1484,4906,Daydaye,MMR017026
 Total,79140,83086,162226,Daydaye,MMR017026
