Activity_status,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Employee (Government),8500,3389,11889,Hmawby,MMR013003
" Employee (Private, Org)",32795,17519,50314,Hmawby,MMR013003
 Employer,2015,740,2755,Hmawby,MMR013003
 Own account worker,20592,11976,32568,Hmawby,MMR013003
 Contributing family worker,3484,5061,8545,Hmawby,MMR013003
 Sought work,2630,1439,4069,Hmawby,MMR013003
 Did not seek work,573,258,831,Hmawby,MMR013003
 Full time student,14788,14525,29313,Hmawby,MMR013003
 Household work,1141,38448,39589,Hmawby,MMR013003
" Pensioner, retired, elderly person",5432,5927,11359,Hmawby,MMR013003
" Ill, disabled",782,649,1431,Hmawby,MMR013003
 Other,6997,3019,10016,Hmawby,MMR013003
 Total,99729,102950,202679,Hmawby,MMR013003
