Activity_status,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Employee (Government),854,845,1699,Htantabin,MMR013006
" Employee (Private, Org)",20294,11996,32290,Htantabin,MMR013006
 Employer,2459,600,3059,Htantabin,MMR013006
 Own account worker,13358,5312,18670,Htantabin,MMR013006
 Contributing family worker,3313,4540,7853,Htantabin,MMR013006
 Sought work,976,662,1638,Htantabin,MMR013006
 Did not seek work,253,149,402,Htantabin,MMR013006
 Full time student,7965,7564,15529,Htantabin,MMR013006
 Household work,687,23561,24248,Htantabin,MMR013006
" Pensioner, retired, elderly person",2125,2940,5065,Htantabin,MMR013006
" Ill, disabled",470,434,904,Htantabin,MMR013006
 Other,4726,1676,6402,Htantabin,MMR013006
 Total,57480,60279,117759,Htantabin,MMR013006
