Activity_status,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Employee (Government),828,1001,1829,Htantapin,MMR007014
" Employee (Private, Org)",12682,7656,20338,Htantapin,MMR007014
 Employer,3895,894,4789,Htantapin,MMR007014
 Own account worker,9016,3439,12455,Htantapin,MMR007014
 Contributing family worker,3368,5790,9158,Htantapin,MMR007014
 Sought work,1367,907,2274,Htantapin,MMR007014
 Did not seek work,144,63,207,Htantapin,MMR007014
 Full time student,6672,7194,13866,Htantapin,MMR007014
 Household work,443,18196,18639,Htantapin,MMR007014
" Pensioner, retired, elderly person",1883,2845,4728,Htantapin,MMR007014
" Ill, disabled",363,332,695,Htantapin,MMR007014
 Other,2196,1465,3661,Htantapin,MMR007014
 Total,42857,49782,92639,Htantapin,MMR007014
