Activity_status,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Employee (Government),1231,97,1328,Khamaukgyi,MMR006009
" Employee (Private, Org)",5103,1962,7065,Khamaukgyi,MMR006009
 Employer,206,80,286,Khamaukgyi,MMR006009
 Own account worker,1406,523,1929,Khamaukgyi,MMR006009
 Contributing family worker,427,291,718,Khamaukgyi,MMR006009
 Sought work,191,59,250,Khamaukgyi,MMR006009
 Did not seek work,75,33,108,Khamaukgyi,MMR006009
 Full time student,740,726,1466,Khamaukgyi,MMR006009
 Household work,140,3573,3713,Khamaukgyi,MMR006009
" Pensioner, retired, elderly person",118,129,247,Khamaukgyi,MMR006009
" Ill, disabled",66,30,96,Khamaukgyi,MMR006009
 Other,337,221,558,Khamaukgyi,MMR006009
 Total,10040,7724,17764,Khamaukgyi,MMR006009
