Activity_status,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Employee (Government),4303,4504,8807,Kyaukse,MMR010013
" Employee (Private, Org)",35071,17638,52709,Kyaukse,MMR010013
 Employer,3983,1451,5434,Kyaukse,MMR010013
 Own account worker,26175,11751,37926,Kyaukse,MMR010013
 Contributing family worker,5377,5610,10987,Kyaukse,MMR010013
 Sought work,3243,2120,5363,Kyaukse,MMR010013
 Did not seek work,450,231,681,Kyaukse,MMR010013
 Full time student,12812,12789,25601,Kyaukse,MMR010013
 Household work,1715,45964,47679,Kyaukse,MMR010013
" Pensioner, retired, elderly person",4719,6797,11516,Kyaukse,MMR010013
" Ill, disabled",582,509,1091,Kyaukse,MMR010013
 Other,3420,1894,5314,Kyaukse,MMR010013
 Total,101850,111258,213108,Kyaukse,MMR010013
