Activity_status,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Employee (Government),341,721,1062,Latha,MMR013036
" Employee (Private, Org)",3615,3995,7610,Latha,MMR013036
 Employer,693,380,1073,Latha,MMR013036
 Own account worker,1813,1166,2979,Latha,MMR013036
 Contributing family worker,457,474,931,Latha,MMR013036
 Sought work,317,228,545,Latha,MMR013036
 Did not seek work,78,55,133,Latha,MMR013036
 Full time student,1322,1544,2866,Latha,MMR013036
 Household work,168,3531,3699,Latha,MMR013036
" Pensioner, retired, elderly person",796,1093,1889,Latha,MMR013036
" Ill, disabled",99,121,220,Latha,MMR013036
 Other,286,299,585,Latha,MMR013036
 Total,9985,13607,23592,Latha,MMR013036
