Activity_status,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Employee (Government),220,129,349,Leshi,MMR005035
" Employee (Private, Org)",498,248,746,Leshi,MMR005035
 Employer,15,1,16,Leshi,MMR005035
 Own account worker,986,411,1397,Leshi,MMR005035
 Contributing family worker,595,1067,1662,Leshi,MMR005035
 Sought work,52,36,88,Leshi,MMR005035
 Did not seek work,5,1,6,Leshi,MMR005035
 Full time student,638,710,1348,Leshi,MMR005035
 Household work,22,488,510,Leshi,MMR005035
" Pensioner, retired, elderly person",63,70,133,Leshi,MMR005035
" Ill, disabled",23,30,53,Leshi,MMR005035
 Other,60,40,100,Leshi,MMR005035
 Total,3177,3231,6408,Leshi,MMR005035
