Activity_status,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Employee (Government),374,225,599,Maukme`,MMR014020
" Employee (Private, Org)",812,333,1145,Maukme`,MMR014020
 Employer,186,114,300,Maukme`,MMR014020
 Own account worker,6101,4828,10929,Maukme`,MMR014020
 Contributing family worker,2573,3869,6442,Maukme`,MMR014020
 Sought work,117,85,202,Maukme`,MMR014020
 Did not seek work,21,13,34,Maukme`,MMR014020
 Full time student,1025,1048,2073,Maukme`,MMR014020
 Household work,60,1788,1848,Maukme`,MMR014020
" Pensioner, retired, elderly person",429,603,1032,Maukme`,MMR014020
" Ill, disabled",77,64,141,Maukme`,MMR014020
 Other,617,137,754,Maukme`,MMR014020
 Total,12392,13107,25499,Maukme`,MMR014020
