Activity_status,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Employee (Government),1130,143,1273,Minetung,MMR016008
" Employee (Private, Org)",1561,307,1868,Minetung,MMR016008
 Employer,51,32,83,Minetung,MMR016008
 Own account worker,3983,2184,6167,Minetung,MMR016008
 Contributing family worker,639,507,1146,Minetung,MMR016008
 Sought work,146,64,210,Minetung,MMR016008
 Did not seek work,30,15,45,Minetung,MMR016008
 Full time student,630,641,1271,Minetung,MMR016008
 Household work,398,2760,3158,Minetung,MMR016008
" Pensioner, retired, elderly person",240,307,547,Minetung,MMR016008
" Ill, disabled",53,42,95,Minetung,MMR016008
 Other,432,275,707,Minetung,MMR016008
 Total,9293,7277,16570,Minetung,MMR016008
