Activity_status,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Employee (Government),63,25,88,Mobaingluk(ST),MMR005035
" Employee (Private, Org)",33,2,35,Mobaingluk(ST),MMR005035
 Employer,2,-,2,Mobaingluk(ST),MMR005035
 Own account worker,228,51,279,Mobaingluk(ST),MMR005035
 Contributing family worker,52,275,327,Mobaingluk(ST),MMR005035
 Sought work,-,3,3,Mobaingluk(ST),MMR005035
 Full time student,116,80,196,Mobaingluk(ST),MMR005035
 Household work,1,30,31,Mobaingluk(ST),MMR005035
" Pensioner, retired, elderly person",13,28,41,Mobaingluk(ST),MMR005035
" Ill, disabled",-,1,1,Mobaingluk(ST),MMR005035
 Other,11,2,13,Mobaingluk(ST),MMR005035
 Total,519,497,1016,Mobaingluk(ST),MMR005035
