Activity_status,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Employee (Government),143,93,236,Monekoe(ST),MMR015009
" Employee (Private, Org)",559,262,821,Monekoe(ST),MMR015009
 Employer,111,29,140,Monekoe(ST),MMR015009
 Own account worker,4245,1381,5626,Monekoe(ST),MMR015009
 Contributing family worker,1733,3856,5589,Monekoe(ST),MMR015009
 Sought work,532,392,924,Monekoe(ST),MMR015009
 Did not seek work,323,320,643,Monekoe(ST),MMR015009
 Full time student,1125,1015,2140,Monekoe(ST),MMR015009
 Household work,144,719,863,Monekoe(ST),MMR015009
" Pensioner, retired, elderly person",461,672,1133,Monekoe(ST),MMR015009
" Ill, disabled",61,65,126,Monekoe(ST),MMR015009
 Other,458,367,825,Monekoe(ST),MMR015009
 Total,9895,9171,19066,Monekoe(ST),MMR015009
