Activity_status,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Employee (Government),7483,6412,13895,Monywa,MMR005012
" Employee (Private, Org)",40662,29561,70223,Monywa,MMR005012
 Employer,6280,3086,9366,Monywa,MMR005012
 Own account worker,37836,31897,69733,Monywa,MMR005012
 Contributing family worker,6410,10442,16852,Monywa,MMR005012
 Sought work,3901,3038,6939,Monywa,MMR005012
 Did not seek work,606,353,959,Monywa,MMR005012
 Full time student,20659,22743,43402,Monywa,MMR005012
 Household work,2114,48356,50470,Monywa,MMR005012
" Pensioner, retired, elderly person",8306,12320,20626,Monywa,MMR005012
" Ill, disabled",1129,1089,2218,Monywa,MMR005012
 Other,9289,4106,13395,Monywa,MMR005012
 Total,144675,173403,318078,Monywa,MMR005012
