Activity_status,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Employee (Government),542,703,1245,Namtu,MMR015015
" Employee (Private, Org)",1908,922,2830,Namtu,MMR015015
 Employer,436,132,568,Namtu,MMR015015
 Own account worker,7173,4359,11532,Namtu,MMR015015
 Contributing family worker,3186,4445,7631,Namtu,MMR015015
 Sought work,567,344,911,Namtu,MMR015015
 Did not seek work,94,49,143,Namtu,MMR015015
 Full time student,2521,3071,5592,Namtu,MMR015015
 Household work,224,4684,4908,Namtu,MMR015015
" Pensioner, retired, elderly person",1077,1362,2439,Namtu,MMR015015
" Ill, disabled",142,135,277,Namtu,MMR015015
 Other,1049,379,1428,Namtu,MMR015015
 Total,18919,20585,39504,Namtu,MMR015015
