Activity_status,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Employee (Government),1727,1085,2812,Natmauk,MMR009006
" Employee (Private, Org)",7399,6872,14271,Natmauk,MMR009006
 Employer,12501,6366,18867,Natmauk,MMR009006
 Own account worker,20806,16428,37234,Natmauk,MMR009006
 Contributing family worker,10120,25312,35432,Natmauk,MMR009006
 Sought work,1343,1192,2535,Natmauk,MMR009006
 Did not seek work,140,65,205,Natmauk,MMR009006
 Full time student,11394,11796,23190,Natmauk,MMR009006
 Household work,816,18143,18959,Natmauk,MMR009006
" Pensioner, retired, elderly person",3811,6070,9881,Natmauk,MMR009006
" Ill, disabled",669,725,1394,Natmauk,MMR009006
 Other,2389,759,3148,Natmauk,MMR009006
 Total,73115,94813,167928,Natmauk,MMR009006
