Activity_status,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Employee (Government),3581,969,4550,Ottarathiri,MMR018008
" Employee (Private, Org)",11970,6295,18265,Ottarathiri,MMR018008
 Employer,875,316,1191,Ottarathiri,MMR018008
 Own account worker,7474,3160,10634,Ottarathiri,MMR018008
 Contributing family worker,1337,2945,4282,Ottarathiri,MMR018008
 Sought work,379,225,604,Ottarathiri,MMR018008
 Did not seek work,129,116,245,Ottarathiri,MMR018008
 Full time student,4436,4397,8833,Ottarathiri,MMR018008
 Household work,326,11582,11908,Ottarathiri,MMR018008
" Pensioner, retired, elderly person",909,1370,2279,Ottarathiri,MMR018008
" Ill, disabled",158,109,267,Ottarathiri,MMR018008
 Other,1300,649,1949,Ottarathiri,MMR018008
 Total,32874,32133,65007,Ottarathiri,MMR018008
