Activity_status,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Employee (Government),8379,4811,13190,Padaung,MMR008003
" Employee (Private, Org)",8092,3690,11782,Padaung,MMR008003
 Employer,1166,451,1617,Padaung,MMR008003
 Own account worker,19404,8633,28037,Padaung,MMR008003
 Contributing family worker,3814,7377,11191,Padaung,MMR008003
 Sought work,1270,1232,2502,Padaung,MMR008003
 Did not seek work,139,141,280,Padaung,MMR008003
 Full time student,6529,6898,13427,Padaung,MMR008003
 Household work,702,23511,24213,Padaung,MMR008003
" Pensioner, retired, elderly person",4254,4786,9040,Padaung,MMR008003
" Ill, disabled",452,422,874,Padaung,MMR008003
 Other,4379,2550,6929,Padaung,MMR008003
 Total,58580,64502,123082,Padaung,MMR008003
