Activity_status,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Employee (Government),965,458,1423,Paletwat,MMR004009
" Employee (Private, Org)",617,125,742,Paletwat,MMR004009
 Employer,283,198,481,Paletwat,MMR004009
 Own account worker,9626,4205,13831,Paletwat,MMR004009
 Contributing family worker,3092,9418,12510,Paletwat,MMR004009
 Sought work,435,361,796,Paletwat,MMR004009
 Did not seek work,85,53,138,Paletwat,MMR004009
 Full time student,5421,4597,10018,Paletwat,MMR004009
 Household work,332,4219,4551,Paletwat,MMR004009
" Pensioner, retired, elderly person",608,1129,1737,Paletwat,MMR004009
" Ill, disabled",178,217,395,Paletwat,MMR004009
 Other,519,319,838,Paletwat,MMR004009
 Total,22161,25299,47460,Paletwat,MMR004009
