Activity_status,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Employee (Government),273,32,305,Panwa(ST),MMR001005
" Employee (Private, Org)",231,111,342,Panwa(ST),MMR001005
 Employer,23,16,39,Panwa(ST),MMR001005
 Own account worker,1053,592,1645,Panwa(ST),MMR001005
 Contributing family worker,559,566,1125,Panwa(ST),MMR001005
 Sought work,315,158,473,Panwa(ST),MMR001005
 Did not seek work,37,18,55,Panwa(ST),MMR001005
 Full time student,567,462,1029,Panwa(ST),MMR001005
 Household work,62,854,916,Panwa(ST),MMR001005
" Pensioner, retired, elderly person",65,118,183,Panwa(ST),MMR001005
" Ill, disabled",44,40,84,Panwa(ST),MMR001005
 Other,120,108,228,Panwa(ST),MMR001005
 Total,3349,3075,6424,Panwa(ST),MMR001005
