Activity_status,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Employee (Government),1320,1054,2374,Phakant,MMR001009
" Employee (Private, Org)",78694,10495,89189,Phakant,MMR001009
 Employer,6339,1277,7616,Phakant,MMR001009
 Own account worker,60534,15178,75712,Phakant,MMR001009
 Contributing family worker,6762,4771,11533,Phakant,MMR001009
 Sought work,2651,917,3568,Phakant,MMR001009
 Did not seek work,299,102,401,Phakant,MMR001009
 Full time student,13928,13673,27601,Phakant,MMR001009
 Household work,1154,36775,37929,Phakant,MMR001009
" Pensioner, retired, elderly person",1399,2690,4089,Phakant,MMR001009
" Ill, disabled",247,249,496,Phakant,MMR001009
 Other,5587,2866,8453,Phakant,MMR001009
 Total,178914,90047,268961,Phakant,MMR001009
