Activity_status,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Employee (Government),2220,1920,4140,Seikphyu,MMR009022
" Employee (Private, Org)",4695,3293,7988,Seikphyu,MMR009022
 Employer,785,199,984,Seikphyu,MMR009022
 Own account worker,12482,4176,16658,Seikphyu,MMR009022
 Contributing family worker,4472,5528,10000,Seikphyu,MMR009022
 Sought work,1069,1004,2073,Seikphyu,MMR009022
 Did not seek work,91,46,137,Seikphyu,MMR009022
 Full time student,6398,6900,13298,Seikphyu,MMR009022
 Household work,518,18118,18636,Seikphyu,MMR009022
" Pensioner, retired, elderly person",1854,2888,4742,Seikphyu,MMR009022
" Ill, disabled",293,320,613,Seikphyu,MMR009022
 Other,1630,1131,2761,Seikphyu,MMR009022
 Total,36507,45523,82030,Seikphyu,MMR009022
