Activity_status,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Employee (Government),1026,964,1990,Sinku,MMR010010
" Employee (Private, Org)",16247,6428,22675,Sinku,MMR010010
 Employer,1192,458,1650,Sinku,MMR010010
 Own account worker,19855,7519,27374,Sinku,MMR010010
 Contributing family worker,5696,6876,12572,Sinku,MMR010010
 Sought work,2287,1313,3600,Sinku,MMR010010
 Did not seek work,241,158,399,Sinku,MMR010010
 Full time student,7668,8040,15708,Sinku,MMR010010
 Household work,1044,27716,28760,Sinku,MMR010010
" Pensioner, retired, elderly person",3066,4417,7483,Sinku,MMR010010
" Ill, disabled",383,304,687,Sinku,MMR010010
 Other,3066,1944,5010,Sinku,MMR010010
 Total,61771,66137,127908,Sinku,MMR010010
