Activity_status,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Employee (Government),1846,1794,3640,Sinpaungwe`,MMR009017
" Employee (Private, Org)",7976,4948,12924,Sinpaungwe`,MMR009017
 Employer,1829,416,2245,Sinpaungwe`,MMR009017
 Own account worker,16238,5449,21687,Sinpaungwe`,MMR009017
 Contributing family worker,6311,11302,17613,Sinpaungwe`,MMR009017
 Sought work,903,728,1631,Sinpaungwe`,MMR009017
 Did not seek work,61,50,111,Sinpaungwe`,MMR009017
 Full time student,5259,5170,10429,Sinpaungwe`,MMR009017
 Household work,441,16905,17346,Sinpaungwe`,MMR009017
" Pensioner, retired, elderly person",2527,3714,6241,Sinpaungwe`,MMR009017
" Ill, disabled",398,445,843,Sinpaungwe`,MMR009017
 Other,1619,949,2568,Sinpaungwe`,MMR009017
 Total,45408,51870,97278,Sinpaungwe`,MMR009017
