Activity_status,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Employee (Government),319,199,518,Tamoenye(ST),MMR015011
" Employee (Private, Org)",897,363,1260,Tamoenye(ST),MMR015011
 Employer,274,58,332,Tamoenye(ST),MMR015011
 Own account worker,11374,3690,15064,Tamoenye(ST),MMR015011
 Contributing family worker,5463,3253,8716,Tamoenye(ST),MMR015011
 Sought work,1672,1129,2801,Tamoenye(ST),MMR015011
 Did not seek work,433,291,724,Tamoenye(ST),MMR015011
 Full time student,4262,4393,8655,Tamoenye(ST),MMR015011
 Household work,1325,11403,12728,Tamoenye(ST),MMR015011
" Pensioner, retired, elderly person",1611,2015,3626,Tamoenye(ST),MMR015011
" Ill, disabled",133,112,245,Tamoenye(ST),MMR015011
 Other,526,309,835,Tamoenye(ST),MMR015011
 Total,28289,27215,55504,Tamoenye(ST),MMR015011
