Activity_status,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Employee (Government),857,1140,1997,Tasei,MMR005011
" Employee (Private, Org)",4621,2708,7329,Tasei,MMR005011
 Employer,5766,2763,8529,Tasei,MMR005011
 Own account worker,18261,11049,29310,Tasei,MMR005011
 Contributing family worker,8620,18481,27101,Tasei,MMR005011
 Sought work,2023,2140,4163,Tasei,MMR005011
 Did not seek work,130,141,271,Tasei,MMR005011
 Full time student,9994,10994,20988,Tasei,MMR005011
 Household work,596,20430,21026,Tasei,MMR005011
" Pensioner, retired, elderly person",3659,5936,9595,Tasei,MMR005011
" Ill, disabled",534,572,1106,Tasei,MMR005011
 Other,1531,769,2300,Tasei,MMR005011
 Total,56592,77123,133715,Tasei,MMR005011
