Highest_grade,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 None,10932,11764,22696,Ahmar(ST),MMR017023
 Grade 1,2922,3144,6066,Ahmar(ST),MMR017023
 Grade 2,3609,4566,8175,Ahmar(ST),MMR017023
 Grade 3,4453,5775,10228,Ahmar(ST),MMR017023
 Grade 4,7472,8574,16046,Ahmar(ST),MMR017023
 Grade 5,8105,7770,15875,Ahmar(ST),MMR017023
 Grade 6,3694,3143,6837,Ahmar(ST),MMR017023
 Grade 7,2837,2053,4890,Ahmar(ST),MMR017023
 Grade 8,2640,1867,4507,Ahmar(ST),MMR017023
 Grade 9,2056,1502,3558,Ahmar(ST),MMR017023
 Grade 10,1663,1404,3067,Ahmar(ST),MMR017023
 Grade 11,620,467,1087,Ahmar(ST),MMR017023
 College,450,373,823,Ahmar(ST),MMR017023
 Vocational training,20,9,29,Ahmar(ST),MMR017023
 Undergraduate diploma,75,46,121,Ahmar(ST),MMR017023
 Graduate,465,684,1149,Ahmar(ST),MMR017023
 Postgraduate diploma,4,6,10,Ahmar(ST),MMR017023
 Master degree,4,6,10,Ahmar(ST),MMR017023
 PhD,4,1,5,Ahmar(ST),MMR017023
 Other,4176,2521,6697,Ahmar(ST),MMR017023
 Total,56201,55675,111876,Ahmar(ST),MMR017023
