Highest_grade,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 None,8184,14927,23111,An,MMR012014
 Grade 1,2520,2676,5196,An,MMR012014
 Grade 2,3444,4157,7601,An,MMR012014
 Grade 3,5040,5771,10811,An,MMR012014
 Grade 4,6860,6278,13138,An,MMR012014
 Grade 5,9361,7898,17259,An,MMR012014
 Grade 6,3292,2706,5998,An,MMR012014
 Grade 7,2461,1841,4302,An,MMR012014
 Grade 8,2378,1616,3994,An,MMR012014
 Grade 9,2517,1730,4247,An,MMR012014
 Grade 10,1643,1274,2917,An,MMR012014
 Grade 11,2432,1811,4243,An,MMR012014
 College,778,688,1466,An,MMR012014
 Vocational training,106,56,162,An,MMR012014
 Undergraduate diploma,130,104,234,An,MMR012014
 Graduate,1158,1033,2191,An,MMR012014
 Postgraduate diploma,35,25,60,An,MMR012014
 Master degree,44,18,62,An,MMR012014
 PhD,5,4,9,An,MMR012014
 Other,150,67,217,An,MMR012014
 Total,52538,54680,107218,An,MMR012014
