Highest_grade,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 None,3424,4847,8271,Bhamo,MMR001010
 Grade 1,2128,2111,4239,Bhamo,MMR001010
 Grade 2,2758,3112,5870,Bhamo,MMR001010
 Grade 3,4052,4856,8908,Bhamo,MMR001010
 Grade 4,5250,5858,11108,Bhamo,MMR001010
 Grade 5,10720,10881,21601,Bhamo,MMR001010
 Grade 6,5078,4805,9883,Bhamo,MMR001010
 Grade 7,4219,3842,8061,Bhamo,MMR001010
 Grade 8,4457,3950,8407,Bhamo,MMR001010
 Grade 9,4761,4043,8804,Bhamo,MMR001010
 Grade 10,3688,3483,7171,Bhamo,MMR001010
 Grade 11,4240,4522,8762,Bhamo,MMR001010
 College,1661,1879,3540,Bhamo,MMR001010
 Vocational training,234,212,446,Bhamo,MMR001010
 Undergraduate diploma,229,123,352,Bhamo,MMR001010
 Graduate,2568,3789,6357,Bhamo,MMR001010
 Postgraduate diploma,121,322,443,Bhamo,MMR001010
 Master degree,71,147,218,Bhamo,MMR001010
 PhD,12,37,49,Bhamo,MMR001010
 Other,499,174,673,Bhamo,MMR001010
 Total,60170,62993,123163,Bhamo,MMR001010
