Highest_grade,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 None,29738,33101,62839,Bogale,MMR017024
 Grade 1,5229,5487,10716,Bogale,MMR017024
 Grade 2,6504,8021,14525,Bogale,MMR017024
 Grade 3,9110,11778,20888,Bogale,MMR017024
 Grade 4,16306,19087,35393,Bogale,MMR017024
 Grade 5,22833,23914,46747,Bogale,MMR017024
 Grade 6,9880,8627,18507,Bogale,MMR017024
 Grade 7,7808,5796,13604,Bogale,MMR017024
 Grade 8,7715,5378,13093,Bogale,MMR017024
 Grade 9,6676,4680,11356,Bogale,MMR017024
 Grade 10,7569,6562,14131,Bogale,MMR017024
 Grade 11,2388,1877,4265,Bogale,MMR017024
 College,1780,1754,3534,Bogale,MMR017024
 Vocational training,71,43,114,Bogale,MMR017024
 Undergraduate diploma,231,133,364,Bogale,MMR017024
 Graduate,2429,4181,6610,Bogale,MMR017024
 Postgraduate diploma,38,85,123,Bogale,MMR017024
 Master degree,19,45,64,Bogale,MMR017024
 PhD,3,6,9,Bogale,MMR017024
 Other,5182,5211,10393,Bogale,MMR017024
 Total,141509,145766,287275,Bogale,MMR017024
