Highest_grade,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 None,2810,2773,5583,Bokepyin,MMR006010
 Grade 1,1094,1011,2105,Bokepyin,MMR006010
 Grade 2,1565,1416,2981,Bokepyin,MMR006010
 Grade 3,2004,1986,3990,Bokepyin,MMR006010
 Grade 4,2339,2169,4508,Bokepyin,MMR006010
 Grade 5,3531,3050,6581,Bokepyin,MMR006010
 Grade 6,1897,1486,3383,Bokepyin,MMR006010
 Grade 7,1287,986,2273,Bokepyin,MMR006010
 Grade 8,1247,877,2124,Bokepyin,MMR006010
 Grade 9,1342,937,2279,Bokepyin,MMR006010
 Grade 10,795,562,1357,Bokepyin,MMR006010
 Grade 11,1117,917,2034,Bokepyin,MMR006010
 College,310,216,526,Bokepyin,MMR006010
 Vocational training,10,4,14,Bokepyin,MMR006010
 Undergraduate diploma,57,17,74,Bokepyin,MMR006010
 Graduate,454,390,844,Bokepyin,MMR006010
 Postgraduate diploma,25,8,33,Bokepyin,MMR006010
 Master degree,13,6,19,Bokepyin,MMR006010
 PhD,1,1,2,Bokepyin,MMR006010
 Other,224,204,428,Bokepyin,MMR006010
 Total,22122,19016,41138,Bokepyin,MMR006010
