Highest_grade,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 None,484,826,1310,Botahtaung,MMR013017
 Grade 1,232,280,512,Botahtaung,MMR013017
 Grade 2,289,363,652,Botahtaung,MMR013017
 Grade 3,389,564,953,Botahtaung,MMR013017
 Grade 4,544,817,1361,Botahtaung,MMR013017
 Grade 5,1126,1758,2884,Botahtaung,MMR013017
 Grade 6,847,918,1765,Botahtaung,MMR013017
 Grade 7,765,689,1454,Botahtaung,MMR013017
 Grade 8,1030,892,1922,Botahtaung,MMR013017
 Grade 9,1491,1378,2869,Botahtaung,MMR013017
 Grade 10,1448,1143,2591,Botahtaung,MMR013017
 Grade 11,3478,3152,6630,Botahtaung,MMR013017
 College,1583,1299,2882,Botahtaung,MMR013017
 Vocational training,86,43,129,Botahtaung,MMR013017
 Undergraduate diploma,327,95,422,Botahtaung,MMR013017
 Graduate,3862,5801,9663,Botahtaung,MMR013017
 Postgraduate diploma,205,184,389,Botahtaung,MMR013017
 Master degree,116,238,354,Botahtaung,MMR013017
 PhD,19,45,64,Botahtaung,MMR013017
 Other,77,69,146,Botahtaung,MMR013017
 Total,18398,20554,38952,Botahtaung,MMR013017
