Highest_grade,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 None,5820,8626,14446,Buthidaung,MMR012010
 Grade 1,1027,984,2011,Buthidaung,MMR012010
 Grade 2,1193,1330,2523,Buthidaung,MMR012010
 Grade 3,1785,1939,3724,Buthidaung,MMR012010
 Grade 4,2093,2137,4230,Buthidaung,MMR012010
 Grade 5,3593,3559,7152,Buthidaung,MMR012010
 Grade 6,1582,1226,2808,Buthidaung,MMR012010
 Grade 7,1147,810,1957,Buthidaung,MMR012010
 Grade 8,1143,647,1790,Buthidaung,MMR012010
 Grade 9,1422,840,2262,Buthidaung,MMR012010
 Grade 10,883,488,1371,Buthidaung,MMR012010
 Grade 11,1412,1270,2682,Buthidaung,MMR012010
 College,395,316,711,Buthidaung,MMR012010
 Vocational training,15,17,32,Buthidaung,MMR012010
 Undergraduate diploma,84,38,122,Buthidaung,MMR012010
 Graduate,955,677,1632,Buthidaung,MMR012010
 Postgraduate diploma,40,27,67,Buthidaung,MMR012010
 Master degree,31,9,40,Buthidaung,MMR012010
 PhD,1,1,2,Buthidaung,MMR012010
 Other,115,21,136,Buthidaung,MMR012010
 Total,24736,24962,49698,Buthidaung,MMR012010
