Highest_grade,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 None,3576,5130,8706,Chaung Oo,MMR005015
 Grade 1,1074,1144,2218,Chaung Oo,MMR005015
 Grade 2,1559,1965,3524,Chaung Oo,MMR005015
 Grade 3,2614,3682,6296,Chaung Oo,MMR005015
 Grade 4,3563,4976,8539,Chaung Oo,MMR005015
 Grade 5,13703,17481,31184,Chaung Oo,MMR005015
 Grade 6,2566,2923,5489,Chaung Oo,MMR005015
 Grade 7,2266,2366,4632,Chaung Oo,MMR005015
 Grade 8,2628,2454,5082,Chaung Oo,MMR005015
 Grade 9,2601,2274,4875,Chaung Oo,MMR005015
 Grade 10,1996,1849,3845,Chaung Oo,MMR005015
 Grade 11,2410,2301,4711,Chaung Oo,MMR005015
 College,771,835,1606,Chaung Oo,MMR005015
 Vocational training,81,51,132,Chaung Oo,MMR005015
 Undergraduate diploma,138,83,221,Chaung Oo,MMR005015
 Graduate,1670,2587,4257,Chaung Oo,MMR005015
 Postgraduate diploma,34,93,127,Chaung Oo,MMR005015
 Master degree,24,96,120,Chaung Oo,MMR005015
 PhD,3,7,10,Chaung Oo,MMR005015
 Other,1114,1284,2398,Chaung Oo,MMR005015
 Total,44391,53581,97972,Chaung Oo,MMR005015
