Highest_grade,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 None,5619,6669,12288,Chaungzon,MMR011003
 Grade 1,2172,2190,4362,Chaungzon,MMR011003
 Grade 2,3373,4036,7409,Chaungzon,MMR011003
 Grade 3,5169,6424,11593,Chaungzon,MMR011003
 Grade 4,5522,7103,12625,Chaungzon,MMR011003
 Grade 5,9546,12456,22002,Chaungzon,MMR011003
 Grade 6,3644,4349,7993,Chaungzon,MMR011003
 Grade 7,3218,3307,6525,Chaungzon,MMR011003
 Grade 8,3092,2908,6000,Chaungzon,MMR011003
 Grade 9,2774,2689,5463,Chaungzon,MMR011003
 Grade 10,1787,2147,3934,Chaungzon,MMR011003
 Grade 11,2123,2780,4903,Chaungzon,MMR011003
 College,666,968,1634,Chaungzon,MMR011003
 Vocational training,63,48,111,Chaungzon,MMR011003
 Undergraduate diploma,87,92,179,Chaungzon,MMR011003
 Graduate,1051,3027,4078,Chaungzon,MMR011003
 Postgraduate diploma,20,92,112,Chaungzon,MMR011003
 Master degree,11,42,53,Chaungzon,MMR011003
 PhD,2,5,7,Chaungzon,MMR011003
 Other,174,28,202,Chaungzon,MMR011003
 Total,50113,61360,111473,Chaungzon,MMR011003
