Highest_grade,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 None,285,864,1149,Cikha(ST),MMR004005
 Grade 1,241,270,511,Cikha(ST),MMR004005
 Grade 2,266,354,620,Cikha(ST),MMR004005
 Grade 3,370,446,816,Cikha(ST),MMR004005
 Grade 4,454,424,878,Cikha(ST),MMR004005
 Grade 5,767,623,1390,Cikha(ST),MMR004005
 Grade 6,325,287,612,Cikha(ST),MMR004005
 Grade 7,280,240,520,Cikha(ST),MMR004005
 Grade 8,358,222,580,Cikha(ST),MMR004005
 Grade 9,340,222,562,Cikha(ST),MMR004005
 Grade 10,255,196,451,Cikha(ST),MMR004005
 Grade 11,626,519,1145,Cikha(ST),MMR004005
 College,72,44,116,Cikha(ST),MMR004005
 Vocational training,3,2,5,Cikha(ST),MMR004005
 Undergraduate diploma,16,27,43,Cikha(ST),MMR004005
 Graduate,94,69,163,Cikha(ST),MMR004005
 Postgraduate diploma,14,1,15,Cikha(ST),MMR004005
 Master degree,20,1,21,Cikha(ST),MMR004005
 PhD,1,-,1,Cikha(ST),MMR004005
 Other,1,1,2,Cikha(ST),MMR004005
 Total,4788,4812,9600,Cikha(ST),MMR004005
