Highest_grade,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 None,91,69,160,Cocogyun,MMR013032
 Grade 1,24,19,43,Cocogyun,MMR013032
 Grade 2,36,32,68,Cocogyun,MMR013032
 Grade 3,43,48,91,Cocogyun,MMR013032
 Grade 4,109,55,164,Cocogyun,MMR013032
 Grade 5,203,78,281,Cocogyun,MMR013032
 Grade 6,105,34,139,Cocogyun,MMR013032
 Grade 7,83,33,116,Cocogyun,MMR013032
 Grade 8,102,45,147,Cocogyun,MMR013032
 Grade 9,118,38,156,Cocogyun,MMR013032
 Grade 10,81,30,111,Cocogyun,MMR013032
 Grade 11,107,42,149,Cocogyun,MMR013032
 College,36,22,58,Cocogyun,MMR013032
 Vocational training,8,-,8,Cocogyun,MMR013032
 Undergraduate diploma,8,1,9,Cocogyun,MMR013032
 Graduate,68,31,99,Cocogyun,MMR013032
 Master degree,3,2,5,Cocogyun,MMR013032
 Total,1225,579,1804,Cocogyun,MMR013032
