Highest_grade,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 None,5077,6164,11241,Dagon Myothit(East),MMR013020
 Grade 1,1714,1867,3581,Dagon Myothit(East),MMR013020
 Grade 2,2217,2694,4911,Dagon Myothit(East),MMR013020
 Grade 3,3154,4059,7213,Dagon Myothit(East),MMR013020
 Grade 4,4963,6492,11455,Dagon Myothit(East),MMR013020
 Grade 5,9256,11362,20618,Dagon Myothit(East),MMR013020
 Grade 6,4978,5394,10372,Dagon Myothit(East),MMR013020
 Grade 7,4305,4080,8385,Dagon Myothit(East),MMR013020
 Grade 8,5643,4857,10500,Dagon Myothit(East),MMR013020
 Grade 9,6730,5674,12404,Dagon Myothit(East),MMR013020
 Grade 10,7822,6552,14374,Dagon Myothit(East),MMR013020
 Grade 11,9238,7850,17088,Dagon Myothit(East),MMR013020
 College,3098,2652,5750,Dagon Myothit(East),MMR013020
 Vocational training,200,77,277,Dagon Myothit(East),MMR013020
 Undergraduate diploma,319,149,468,Dagon Myothit(East),MMR013020
 Graduate,5369,8023,13392,Dagon Myothit(East),MMR013020
 Postgraduate diploma,147,215,362,Dagon Myothit(East),MMR013020
 Master degree,86,198,284,Dagon Myothit(East),MMR013020
 PhD,24,41,65,Dagon Myothit(East),MMR013020
 Other,164,135,299,Dagon Myothit(East),MMR013020
 Total,74504,78535,153039,Dagon Myothit(East),MMR013020
