Highest_grade,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 None,8643,12415,21058,Daik U,MMR007007
 Grade 1,3508,3742,7250,Daik U,MMR007007
 Grade 2,4363,5790,10153,Daik U,MMR007007
 Grade 3,7162,9726,16888,Daik U,MMR007007
 Grade 4,8670,11528,20198,Daik U,MMR007007
 Grade 5,16344,19021,35365,Daik U,MMR007007
 Grade 6,6115,6328,12443,Daik U,MMR007007
 Grade 7,5369,4888,10257,Daik U,MMR007007
 Grade 8,5286,4149,9435,Daik U,MMR007007
 Grade 9,5466,4165,9631,Daik U,MMR007007
 Grade 10,3820,2874,6694,Daik U,MMR007007
 Grade 11,5125,4462,9587,Daik U,MMR007007
 College,1275,1301,2576,Daik U,MMR007007
 Vocational training,295,144,439,Daik U,MMR007007
 Undergraduate diploma,252,153,405,Daik U,MMR007007
 Graduate,2067,3631,5698,Daik U,MMR007007
 Postgraduate diploma,23,50,73,Daik U,MMR007007
 Master degree,14,34,48,Daik U,MMR007007
 PhD,3,5,8,Daik U,MMR007007
 Other,2584,1910,4494,Daik U,MMR007007
 Total,86384,96316,182700,Daik U,MMR007007
