Highest_grade,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 None,1913,2936,4849,Dawbon,MMR013014
 Grade 1,1044,1309,2353,Dawbon,MMR013014
 Grade 2,1484,1945,3429,Dawbon,MMR013014
 Grade 3,1779,2270,4049,Dawbon,MMR013014
 Grade 4,3711,4993,8704,Dawbon,MMR013014
 Grade 5,3082,3106,6188,Dawbon,MMR013014
 Grade 6,1996,1906,3902,Dawbon,MMR013014
 Grade 7,2404,2033,4437,Dawbon,MMR013014
 Grade 8,3456,2773,6229,Dawbon,MMR013014
 Grade 9,2979,2326,5305,Dawbon,MMR013014
 Grade 10,4958,4109,9067,Dawbon,MMR013014
 Grade 11,1151,674,1825,Dawbon,MMR013014
 College,1393,1200,2593,Dawbon,MMR013014
 Vocational training,72,36,108,Dawbon,MMR013014
 Undergraduate diploma,211,82,293,Dawbon,MMR013014
 Graduate,2224,3942,6166,Dawbon,MMR013014
 Postgraduate diploma,86,105,191,Dawbon,MMR013014
 Master degree,30,83,113,Dawbon,MMR013014
 PhD,5,11,16,Dawbon,MMR013014
 Other,25,50,75,Dawbon,MMR013014
 Total,34003,35889,69892,Dawbon,MMR013014
