Highest_grade,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 None,12641,12728,25369,Daydaye,MMR017026
 Grade 1,3062,3103,6165,Daydaye,MMR017026
 Grade 2,3887,4623,8510,Daydaye,MMR017026
 Grade 3,5575,7394,12969,Daydaye,MMR017026
 Grade 4,8292,10197,18489,Daydaye,MMR017026
 Grade 5,23982,27350,51332,Daydaye,MMR017026
 Grade 6,6345,5870,12215,Daydaye,MMR017026
 Grade 7,4970,4005,8975,Daydaye,MMR017026
 Grade 8,4827,3638,8465,Daydaye,MMR017026
 Grade 9,4560,3430,7990,Daydaye,MMR017026
 Grade 10,3294,2655,5949,Daydaye,MMR017026
 Grade 11,4213,3889,8102,Daydaye,MMR017026
 College,1072,1086,2158,Daydaye,MMR017026
 Vocational training,34,36,70,Daydaye,MMR017026
 Undergraduate diploma,127,81,208,Daydaye,MMR017026
 Graduate,1513,2694,4207,Daydaye,MMR017026
 Postgraduate diploma,15,39,54,Daydaye,MMR017026
 Master degree,6,25,31,Daydaye,MMR017026
 PhD,4,2,6,Daydaye,MMR017026
 Other,1840,1238,3078,Daydaye,MMR017026
 Total,90259,94083,184342,Daydaye,MMR017026
