Highest_grade,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 None,3142,3891,7033,Hkamti,MMR005033
 Grade 1,845,735,1580,Hkamti,MMR005033
 Grade 2,1004,817,1821,Hkamti,MMR005033
 Grade 3,1370,1218,2588,Hkamti,MMR005033
 Grade 4,1968,1537,3505,Hkamti,MMR005033
 Grade 5,4095,2640,6735,Hkamti,MMR005033
 Grade 6,2029,1263,3292,Hkamti,MMR005033
 Grade 7,1665,941,2606,Hkamti,MMR005033
 Grade 8,1808,1019,2827,Hkamti,MMR005033
 Grade 9,2032,1076,3108,Hkamti,MMR005033
 Grade 10,1382,858,2240,Hkamti,MMR005033
 Grade 11,1702,1315,3017,Hkamti,MMR005033
 College,442,297,739,Hkamti,MMR005033
 Vocational training,37,23,60,Hkamti,MMR005033
 Undergraduate diploma,45,43,88,Hkamti,MMR005033
 Graduate,710,612,1322,Hkamti,MMR005033
 Postgraduate diploma,17,11,28,Hkamti,MMR005033
 Master degree,34,18,52,Hkamti,MMR005033
 PhD,1,2,3,Hkamti,MMR005033
 Other,126,45,171,Hkamti,MMR005033
 Total,24454,18361,42815,Hkamti,MMR005033
