Highest_grade,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 None,8413,11906,20319,Hlegu,MMR013004
 Grade 1,4269,4180,8449,Hlegu,MMR013004
 Grade 2,5330,6191,11521,Hlegu,MMR013004
 Grade 3,8164,10464,18628,Hlegu,MMR013004
 Grade 4,10716,12745,23461,Hlegu,MMR013004
 Grade 5,22345,24286,46631,Hlegu,MMR013004
 Grade 6,9157,8730,17887,Hlegu,MMR013004
 Grade 7,7232,6160,13392,Hlegu,MMR013004
 Grade 8,7920,6129,14049,Hlegu,MMR013004
 Grade 9,8753,6627,15380,Hlegu,MMR013004
 Grade 10,6817,5192,12009,Hlegu,MMR013004
 Grade 11,10894,9340,20234,Hlegu,MMR013004
 College,3445,2965,6410,Hlegu,MMR013004
 Vocational training,233,134,367,Hlegu,MMR013004
 Undergraduate diploma,406,237,643,Hlegu,MMR013004
 Graduate,4663,6906,11569,Hlegu,MMR013004
 Postgraduate diploma,136,256,392,Hlegu,MMR013004
 Master degree,147,151,298,Hlegu,MMR013004
 PhD,20,21,41,Hlegu,MMR013004
 Other,2950,2111,5061,Hlegu,MMR013004
 Total,122010,124731,246741,Hlegu,MMR013004
