Highest_grade,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 None,1713,2950,4663,Hline,MMR013040
 Grade 1,1225,1290,2515,Hline,MMR013040
 Grade 2,1318,1779,3097,Hline,MMR013040
 Grade 3,1909,2608,4517,Hline,MMR013040
 Grade 4,3255,4786,8041,Hline,MMR013040
 Grade 5,5261,7377,12638,Hline,MMR013040
 Grade 6,3602,4200,7802,Hline,MMR013040
 Grade 7,3492,3402,6894,Hline,MMR013040
 Grade 8,4732,4527,9259,Hline,MMR013040
 Grade 9,6351,5378,11729,Hline,MMR013040
 Grade 10,7939,6759,14698,Hline,MMR013040
 Grade 11,9832,8799,18631,Hline,MMR013040
 College,5292,4368,9660,Hline,MMR013040
 Vocational training,356,148,504,Hline,MMR013040
 Undergraduate diploma,878,384,1262,Hline,MMR013040
 Graduate,12832,20576,33408,Hline,MMR013040
 Postgraduate diploma,413,745,1158,Hline,MMR013040
 Master degree,360,1102,1462,Hline,MMR013040
 PhD,109,265,374,Hline,MMR013040
 Other,120,91,211,Hline,MMR013040
 Total,70989,81534,152523,Hline,MMR013040
