Highest_grade,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 None,9387,11965,21352,Homalin,MMR005034
 Grade 1,4978,4784,9762,Homalin,MMR005034
 Grade 2,4929,5781,10710,Homalin,MMR005034
 Grade 3,6499,8022,14521,Homalin,MMR005034
 Grade 4,10430,10862,21292,Homalin,MMR005034
 Grade 5,26985,24292,51277,Homalin,MMR005034
 Grade 6,9931,8050,17981,Homalin,MMR005034
 Grade 7,7989,6368,14357,Homalin,MMR005034
 Grade 8,8417,6335,14752,Homalin,MMR005034
 Grade 9,9128,6365,15493,Homalin,MMR005034
 Grade 10,4842,3574,8416,Homalin,MMR005034
 Grade 11,7087,6565,13652,Homalin,MMR005034
 College,1787,1702,3489,Homalin,MMR005034
 Vocational training,50,42,92,Homalin,MMR005034
 Undergraduate diploma,207,181,388,Homalin,MMR005034
 Graduate,2331,3105,5436,Homalin,MMR005034
 Postgraduate diploma,48,103,151,Homalin,MMR005034
 Master degree,28,35,63,Homalin,MMR005034
 PhD,6,4,10,Homalin,MMR005034
 Other,2850,1170,4020,Homalin,MMR005034
 Total,117909,109305,227214,Homalin,MMR005034
