Highest_grade,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 None,2235,2204,4439,Homane(ST),MMR014018
 Grade 1,89,82,171,Homane(ST),MMR014018
 Grade 2,109,95,204,Homane(ST),MMR014018
 Grade 3,121,116,237,Homane(ST),MMR014018
 Grade 4,151,128,279,Homane(ST),MMR014018
 Grade 5,186,107,293,Homane(ST),MMR014018
 Grade 6,62,63,125,Homane(ST),MMR014018
 Grade 7,50,41,91,Homane(ST),MMR014018
 Grade 8,69,40,109,Homane(ST),MMR014018
 Grade 9,63,36,99,Homane(ST),MMR014018
 Grade 10,57,49,106,Homane(ST),MMR014018
 Grade 11,16,12,28,Homane(ST),MMR014018
 College,13,12,25,Homane(ST),MMR014018
 Vocational training,1,-,1,Homane(ST),MMR014018
 Undergraduate diploma,3,2,5,Homane(ST),MMR014018
 Graduate,40,24,64,Homane(ST),MMR014018
 Postgraduate diploma,-,11,11,Homane(ST),MMR014018
 Total,3265,3022,6287,Homane(ST),MMR014018
