Highest_grade,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 None,29017,33488,62505,Hsipaw,MMR015014
 Grade 1,4251,3813,8064,Hsipaw,MMR015014
 Grade 2,5431,5077,10508,Hsipaw,MMR015014
 Grade 3,5915,6099,12014,Hsipaw,MMR015014
 Grade 4,5221,5906,11127,Hsipaw,MMR015014
 Grade 5,9326,9367,18693,Hsipaw,MMR015014
 Grade 6,2735,2895,5630,Hsipaw,MMR015014
 Grade 7,2381,2363,4744,Hsipaw,MMR015014
 Grade 8,2300,2282,4582,Hsipaw,MMR015014
 Grade 9,2472,2210,4682,Hsipaw,MMR015014
 Grade 10,2008,2003,4011,Hsipaw,MMR015014
 Grade 11,2024,2190,4214,Hsipaw,MMR015014
 College,552,645,1197,Hsipaw,MMR015014
 Vocational training,37,26,63,Hsipaw,MMR015014
 Undergraduate diploma,67,56,123,Hsipaw,MMR015014
 Graduate,1140,1823,2963,Hsipaw,MMR015014
 Postgraduate diploma,29,61,90,Hsipaw,MMR015014
 Master degree,38,11,49,Hsipaw,MMR015014
 PhD,7,4,11,Hsipaw,MMR015014
 Other,2025,1180,3205,Hsipaw,MMR015014
 Total,76976,81499,158475,Hsipaw,MMR015014
