Highest_grade,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 None,963,1155,2118,Hsotlaw,MMR001006
 Grade 1,189,167,356,Hsotlaw,MMR001006
 Grade 2,178,174,352,Hsotlaw,MMR001006
 Grade 3,228,179,407,Hsotlaw,MMR001006
 Grade 4,219,152,371,Hsotlaw,MMR001006
 Grade 5,284,179,463,Hsotlaw,MMR001006
 Grade 6,174,122,296,Hsotlaw,MMR001006
 Grade 7,145,100,245,Hsotlaw,MMR001006
 Grade 8,131,117,248,Hsotlaw,MMR001006
 Grade 9,131,130,261,Hsotlaw,MMR001006
 Grade 10,75,60,135,Hsotlaw,MMR001006
 Grade 11,100,132,232,Hsotlaw,MMR001006
 College,8,9,17,Hsotlaw,MMR001006
 Vocational training,-,1,1,Hsotlaw,MMR001006
 Undergraduate diploma,5,1,6,Hsotlaw,MMR001006
 Graduate,19,10,29,Hsotlaw,MMR001006
 Postgraduate diploma,2,14,16,Hsotlaw,MMR001006
 Master degree,-,1,1,Hsotlaw,MMR001006
 Other,3,1,4,Hsotlaw,MMR001006
 Total,2854,2704,5558,Hsotlaw,MMR001006
