Highest_grade,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 None,1451,1864,3315,Htilin,MMR009024
 Grade 1,479,597,1076,Htilin,MMR009024
 Grade 2,700,886,1586,Htilin,MMR009024
 Grade 3,886,1301,2187,Htilin,MMR009024
 Grade 4,1253,1881,3134,Htilin,MMR009024
 Grade 5,8633,10035,18668,Htilin,MMR009024
 Grade 6,1329,1288,2617,Htilin,MMR009024
 Grade 7,1116,952,2068,Htilin,MMR009024
 Grade 8,1227,1036,2263,Htilin,MMR009024
 Grade 9,1108,922,2030,Htilin,MMR009024
 Grade 10,956,948,1904,Htilin,MMR009024
 Grade 11,1113,1070,2183,Htilin,MMR009024
 College,254,337,591,Htilin,MMR009024
 Vocational training,23,30,53,Htilin,MMR009024
 Undergraduate diploma,51,53,104,Htilin,MMR009024
 Graduate,601,1081,1682,Htilin,MMR009024
 Postgraduate diploma,11,37,48,Htilin,MMR009024
 Master degree,3,5,8,Htilin,MMR009024
 PhD,-,1,1,Htilin,MMR009024
 Other,11,6,17,Htilin,MMR009024
 Total,21205,24330,45535,Htilin,MMR009024
