Highest_grade,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 None,117,151,268,Ingyanyan,MMR001003
 Grade 1,59,46,105,Ingyanyan,MMR001003
 Grade 2,54,66,120,Ingyanyan,MMR001003
 Grade 3,72,64,136,Ingyanyan,MMR001003
 Grade 4,84,63,147,Ingyanyan,MMR001003
 Grade 5,101,83,184,Ingyanyan,MMR001003
 Grade 6,64,45,109,Ingyanyan,MMR001003
 Grade 7,58,39,97,Ingyanyan,MMR001003
 Grade 8,68,26,94,Ingyanyan,MMR001003
 Grade 9,39,26,65,Ingyanyan,MMR001003
 Grade 10,56,35,91,Ingyanyan,MMR001003
 Grade 11,22,18,40,Ingyanyan,MMR001003
 College,12,3,15,Ingyanyan,MMR001003
 Undergraduate diploma,1,4,5,Ingyanyan,MMR001003
 Graduate,35,5,40,Ingyanyan,MMR001003
 Postgraduate diploma,1,14,15,Ingyanyan,MMR001003
 Master degree,1,1,2,Ingyanyan,MMR001003
 Total,844,689,1533,Ingyanyan,MMR001003
