Highest_grade,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 None,4818,7285,12103,Insein,MMR013001
 Grade 1,2845,3066,5911,Insein,MMR013001
 Grade 2,3513,4240,7753,Insein,MMR013001
 Grade 3,4785,6265,11050,Insein,MMR013001
 Grade 4,7753,10424,18177,Insein,MMR013001
 Grade 5,13671,18063,31734,Insein,MMR013001
 Grade 6,8388,9425,17813,Insein,MMR013001
 Grade 7,7601,7344,14945,Insein,MMR013001
 Grade 8,10603,9654,20257,Insein,MMR013001
 Grade 9,13002,11187,24189,Insein,MMR013001
 Grade 10,16592,14397,30989,Insein,MMR013001
 Grade 11,17276,15875,33151,Insein,MMR013001
 College,7525,6353,13878,Insein,MMR013001
 Vocational training,870,247,1117,Insein,MMR013001
 Undergraduate diploma,1075,381,1456,Insein,MMR013001
 Graduate,14369,22683,37052,Insein,MMR013001
 Postgraduate diploma,454,792,1246,Insein,MMR013001
 Master degree,385,770,1155,Insein,MMR013001
 PhD,106,194,300,Insein,MMR013001
 Other,833,892,1725,Insein,MMR013001
 Total,136464,149537,286001,Insein,MMR013001
