Highest_grade,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 None,11453,16504,27957,Kalaw,MMR014005
 Grade 1,3281,3297,6578,Kalaw,MMR014005
 Grade 2,4746,4818,9564,Kalaw,MMR014005
 Grade 3,6537,6977,13514,Kalaw,MMR014005
 Grade 4,9301,8869,18170,Kalaw,MMR014005
 Grade 5,15122,14030,29152,Kalaw,MMR014005
 Grade 6,5017,4771,9788,Kalaw,MMR014005
 Grade 7,4352,3588,7940,Kalaw,MMR014005
 Grade 8,5103,3927,9030,Kalaw,MMR014005
 Grade 9,4793,3403,8196,Kalaw,MMR014005
 Grade 10,5085,4374,9459,Kalaw,MMR014005
 Grade 11,3413,3171,6584,Kalaw,MMR014005
 College,1454,1508,2962,Kalaw,MMR014005
 Vocational training,100,72,172,Kalaw,MMR014005
 Undergraduate diploma,157,101,258,Kalaw,MMR014005
 Graduate,3041,4481,7522,Kalaw,MMR014005
 Postgraduate diploma,63,82,145,Kalaw,MMR014005
 Master degree,100,54,154,Kalaw,MMR014005
 PhD,13,14,27,Kalaw,MMR014005
 Other,1511,602,2113,Kalaw,MMR014005
 Total,84642,84643,169285,Kalaw,MMR014005
