Highest_grade,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 None,1627,1882,3509,Kaleinaung(ST),MMR006004
 Grade 1,619,548,1167,Kaleinaung(ST),MMR006004
 Grade 2,811,709,1520,Kaleinaung(ST),MMR006004
 Grade 3,1097,1008,2105,Kaleinaung(ST),MMR006004
 Grade 4,1229,1132,2361,Kaleinaung(ST),MMR006004
 Grade 5,1663,1424,3087,Kaleinaung(ST),MMR006004
 Grade 6,629,535,1164,Kaleinaung(ST),MMR006004
 Grade 7,507,406,913,Kaleinaung(ST),MMR006004
 Grade 8,563,355,918,Kaleinaung(ST),MMR006004
 Grade 9,519,272,791,Kaleinaung(ST),MMR006004
 Grade 10,365,243,608,Kaleinaung(ST),MMR006004
 Grade 11,346,281,627,Kaleinaung(ST),MMR006004
 College,106,98,204,Kaleinaung(ST),MMR006004
 Vocational training,5,8,13,Kaleinaung(ST),MMR006004
 Undergraduate diploma,8,5,13,Kaleinaung(ST),MMR006004
 Graduate,236,178,414,Kaleinaung(ST),MMR006004
 Postgraduate diploma,2,2,4,Kaleinaung(ST),MMR006004
 Master degree,12,2,14,Kaleinaung(ST),MMR006004
 PhD,-,1,1,Kaleinaung(ST),MMR006004
 Other,86,26,112,Kaleinaung(ST),MMR006004
 Total,10430,9115,19545,Kaleinaung(ST),MMR006004
