Highest_grade,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 None,1733,1998,3731,Kamamaung(ST},MMR003003
 Grade 1,542,494,1036,Kamamaung(ST},MMR003003
 Grade 2,687,597,1284,Kamamaung(ST},MMR003003
 Grade 3,780,810,1590,Kamamaung(ST},MMR003003
 Grade 4,930,985,1915,Kamamaung(ST},MMR003003
 Grade 5,1095,1102,2197,Kamamaung(ST},MMR003003
 Grade 6,690,628,1318,Kamamaung(ST},MMR003003
 Grade 7,568,479,1047,Kamamaung(ST},MMR003003
 Grade 8,507,471,978,Kamamaung(ST},MMR003003
 Grade 9,489,420,909,Kamamaung(ST},MMR003003
 Grade 10,435,520,955,Kamamaung(ST},MMR003003
 Grade 11,342,331,673,Kamamaung(ST},MMR003003
 College,99,126,225,Kamamaung(ST},MMR003003
 Vocational training,3,1,4,Kamamaung(ST},MMR003003
 Undergraduate diploma,14,24,38,Kamamaung(ST},MMR003003
 Graduate,140,239,379,Kamamaung(ST},MMR003003
 Postgraduate diploma,1,3,4,Kamamaung(ST},MMR003003
 Master degree,1,5,6,Kamamaung(ST},MMR003003
 PhD,1,-,1,Kamamaung(ST},MMR003003
 Other,26,4,30,Kamamaung(ST},MMR003003
 Total,9083,9237,18320,Kamamaung(ST},MMR003003
